chr	start	end	name	score	strand	NormedTC_ENCFF462CMF	NormedTC_ENCFF942TPA	NormedTC_K562_RBFOX2	BC_K562_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr15	27104483	27104503	chr15-576	10.2	+	2.4679	0.6605	3.1283	2	Satellite/LC	ENSG00000182256.13	GABRG3	TE
chr15	27104648	27104668	chr15-1296	11.6	+	2.8971	0.2202	3.1172	2	Deep intronic	ENSG00000182256.13	GABRG3	Genic
chr15	27108376	27108396	chr15-1762	9.52	+	1.3949	4.1829	5.5778	2	LINE	ENSG00000182256.13	GABRG3	TE
chr15	27108494	27108514	chr15-747	10.9	+	1.8241	2.862	4.6861	2	LINE	ENSG00000182256.13	GABRG3	TE
chr15	27111289	27111309	chr15-77	25.8	+	2.6825	7.7054	10.3879	2	LINE	ENSG00000182256.13	GABRG3	TE
chr15	27119474	27119494	chr15-578	12.9	+	2.0387	3.5225	5.5611	2	LTR/ERV	ENSG00000182256.13	GABRG3	TE
chr15	27121135	27121155	chr15-1302	6.8	+	1.3949	2.6418	4.0367	2	Deep intronic	ENSG00000182256.13	GABRG3	Genic
chr15	27138560	27138580	chr15-342	13.6	+	1.6095	3.9628	5.5723	2	Deep intronic	ENSG00000182256.13	GABRG3	Genic
chr15	27143096	27143116	chr15-976	18.4	+	2.4679	0.8806	3.3485	2	Alu	ENSG00000182256.13	GABRG3	TE
chr15	27169455	27169475	chr15-1772	8.84	+	1.073	1.9814	3.0544	2	Deep intronic	ENSG00000182256.13	GABRG3	Genic
chr15	27204211	27204231	chr15-748	10.2	+	1.2876	5.9442	7.2317	2	LINE	ENSG00000182256.13	GABRG3	TE
chr15	27205530	27205550	chr15-979	12.2	+	0.7511	3.3023	4.0534	2	LINE	ENSG00000182256.13	GABRG3	TE
chr15	27206273	27206293	chr15-579	9.52	+	1.1803	3.0822	4.2624	2	LINE	ENSG00000182256.13	GABRG3	TE
chr15	27206446	27206466	chr15-441	14.3	+	1.5022	4.4031	5.9053	2	LINE	ENSG00000182256.13	GABRG3	TE
chr15	28144212	28144232	chr15-749	10.9	-	1.6095	1.9814	3.5909	2	CDS	ENSG00000128731.18	HERC2	Genic
chr15	28148654	28148674	chr15-580	14.3	-	2.3606	3.5225	5.883	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28149166	28149186	chr15-443	14.3	-	2.5752	3.7426	6.3178	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28176754	28176774	chr15-170	13.6	-	1.5022	2.6418	4.144	2	CDS	ENSG00000128731.18	HERC2	Genic
chr15	28182479	28182499	chr15-753	7.48	-	0.6438	2.4217	3.0655	2	CDS	ENSG00000128731.18	HERC2	Genic
chr15	28213685	28213705	chr15-445	9.52	-	2.0387	2.2015	4.2402	2	Proximal intronic	ENSG00000128731.18	HERC2	Genic
chr15	28217236	28217256	chr15-1317	10.9	-	1.1803	2.4217	3.602	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28246865	28246885	chr15-145	14.3	-	1.8241	1.3209	3.145	2	CDS	ENSG00000128731.18	HERC2	Genic
chr15	28263117	28263137	chr15-215	19	-	4.0774	6.1643	10.2417	2	CDS	ENSG00000128731.18	HERC2	Genic
chr15	28263682	28263702	chr15-989	15.6	-	1.9314	2.2015	4.1329	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28263998	28264018	chr15-1320	23.8	-	2.3606	3.0822	5.4427	2	Alu	ENSG00000128731.18	HERC2	TE
chr15	28264243	28264263	chr15-267	19	-	3.7555	5.5038	9.2593	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28264395	28264415	chr15-146	20.4	-	5.9014	3.9628	9.8642	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28264574	28264594	chr15-347	27.9	-	3.0044	6.6046	9.609	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28264848	28264868	chr15-216	27.2	-	4.6139	4.4031	9.0169	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28264911	28264931	chr15-147	19.7	-	3.8628	3.9628	7.8255	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28265094	28265114	chr15-446	15.6	-	3.0044	2.2015	5.2059	2	Deep intronic	ENSG00000128731.18	HERC2	Genic
chr15	28684607	28684627	chr15-268	19	+	3.7555	1.5411	5.2965	2	Other exon	ENSG00000291082.2	HERC2P9	Genic
chr15	29111034	29111054	chr15-759	12.9	+	2.2533	2.2015	4.4548	2	Deep intronic	ENSG00000034053.16	""	Genic
chr15	29725233	29725253	chr15-586	14.3	-	1.8241	1.7612	3.5853	2	Deep intronic	ENSG00000104067.18	""	Genic
chr15	29766434	29766454	chr15-1329	6.8	-	0.8584	2.2015	3.0599	2	CDS	ENSG00000104067.18	""	Genic
chr15	29784855	29784875	chr15-1331	8.84	-	1.2876	2.6418	3.9294	2	LINE	ENSG00000104067.18	""	TE
chr15	29800930	29800950	chr15-998	8.16	-	0.4292	2.862	3.2912	2	First intron	ENSG00000104067.18	""	Genic
chr15	30642462	30642482	chr15-2559	7.48	+	0.7511	3.0822	3.8332	2	Deep intronic	ENSG00000284906.3	""	Genic
chr15	30643001	30643021	chr15-269	19.7	+	2.7898	2.6418	5.4316	2	Deep intronic	ENSG00000284906.3	""	Genic
chr15	30653931	30653951	chr15-761	9.52	+	2.7898	3.0822	5.8719	2	3'UTR-distal	ENSG00000284906.3	""	Genic
chr15	30654062	30654082	chr15-447	18.4	+	2.5752	4.4031	6.9783	2	3'UTR-distal	ENSG00000284906.3	""	Genic
chr15	30654423	30654443	chr15-591	9.52	+	1.2876	4.6232	5.9108	2	3'UTR-distal	ENSG00000284906.3	""	Genic
chr15	30656161	30656181	chr15-1000	8.16	+	1.3949	1.7612	3.1561	2	3'UTR-distal	ENSG00000284906.3	""	Genic
chr15	30657228	30657248	chr15-348	15.6	+	2.146	1.7612	3.9072	2	3'UTR-distal	ENSG00000284906.3	""	Genic
chr15	30666256	30666276	chr15-1830	8.16	+	1.2876	2.2015	3.4891	2	LINE	ENSG00000187951.11	""	TE
chr15	30671839	30671859	chr15-1337	8.84	+	2.3606	1.5411	3.9017	2	LTR/ERV	ENSG00000187951.11	""	TE
chr15	30673279	30673299	chr15-762	19	+	3.219	0.2202	3.4391	2	Alu	ENSG00000187951.11	""	TE
chr15	30687497	30687517	chr15-1343	7.48	+	0.5365	2.862	3.3985	2	LINE	ENSG00000187951.11	""	TE
chr15	30770316	30770336	chr15-2585	6.8	+	0.8584	2.2015	3.0599	2	3'UTR	ENSG00000187951.11	""	Genic
chr15	32615833	32615853	chr15-1838	5.44	+	1.073	1.9814	3.0544	2	3'UTR-distal	ENSG00000198826.12	""	Genic
chr15	34359739	34359759	chr15-763	11.6	-	2.146	1.1008	3.2468	2	CDS	ENSG00000176454.16	""	Genic
chr15	34359806	34359826	chr15-764	10.9	-	2.146	1.7612	3.9072	2	Proximal intronic	ENSG00000176454.16	""	Genic
chr15	34366816	34366836	chr15-592	11.6	-	1.6095	3.7426	5.3521	2	First intron	ENSG00000176454.16	""	Genic
chr15	34379190	34379210	chr15-114	24.5	-	10.7299	2.862	13.5919	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34379508	34379528	chr15-450	17	-	4.292	1.9814	6.2733	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34379622	34379642	chr15-270	31.3	-	5.365	3.5225	8.8874	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34379694	34379714	chr15-171	21.1	-	3.8628	1.1008	4.9635	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34380033	34380053	chr15-766	13.6	-	2.3606	1.5411	3.9017	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34380535	34380555	chr15-593	11.6	-	3.5409	1.1008	4.6416	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34380706	34380726	chr15-451	17.7	-	2.7898	1.3209	4.1107	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34380772	34380792	chr15-349	19	-	4.6139	1.7612	6.3751	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34380874	34380894	chr15-350	15	-	3.3263	1.1008	4.427	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34381230	34381250	chr15-78	38.1	-	4.7212	3.5225	8.2436	2	3'UTR	ENSG00000175265.20	""	Genic
chr15	34386867	34386887	chr15-94	29.9	-	3.7555	3.3023	7.0578	2	Proximal intronic	ENSG00000175265.20	""	Genic
chr15	34399180	34399200	chr15-115	20.4	-	2.3606	2.6418	5.0024	2	5'UTR	ENSG00000175265.20	""	Genic
chr15	34407713	34407733	chr15-79	25.2	-	2.146	3.7426	5.8886	2	5'UTR	ENSG00000175265.20	""	Genic
chr15	34430887	34430907	chr15-1849	8.16	-	1.073	2.2015	3.2745	2	First intron	ENSG00000175265.20	""	Genic
chr15	34435387	34435407	chr15-452	17	-	4.292	4.6232	8.9152	2	5'UTR	ENSG00000175265.20	""	Genic
chr15	34435437	34435457	chr15-95	17.7	-	2.5752	3.0822	5.6573	2	5'UTR	ENSG00000175265.20	""	Genic
chr15	34435555	34435575	chr15-271	11.6	-	1.073	2.2015	3.2745	2	First intron	ENSG00000175265.20	""	Genic
chr15	34437432	34437452	chr15-351	13.6	-	1.6095	2.6418	4.2513	2	5'UTR	ENSG00000175265.20	""	Genic
chr15	34486787	34486807	chr15-2606	4.76	-	0.7511	2.4217	3.1728	2	LINE	""	""	TE
chr15	34525381	34525401	chr15-453	15.6	-	4.1847	0.4403	4.625	2	3'UTR	ENSG00000215252.13	""	Genic
chr15	34525445	34525465	chr15-1006	10.9	-	2.7898	0.8806	3.6704	2	3'UTR	ENSG00000215252.13	""	Genic
chr15	34525844	34525864	chr15-454	15.6	-	2.4679	1.1008	3.5686	2	3'UTR	ENSG00000215252.13	""	Genic
chr15	34545406	34545426	chr15-272	17	-	2.0387	1.7612	3.7999	2	5'UTR	ENSG00000215252.13	""	Genic
chr15	34978403	34978423	chr15-769	10.9	-	1.9314	6.1643	8.0957	2	3'UTR	ENSG00000198146.5	""	Genic
chr15	34978616	34978636	chr15-96	38.1	-	4.0774	13.8697	17.9471	2	3'UTR	ENSG00000198146.5	""	Genic
chr15	34978812	34978832	chr15-595	12.2	-	1.7168	2.4217	4.1385	2	3'UTR	ENSG00000198146.5	""	Genic
chr15	34979640	34979660	chr15-2613	8.84	-	0.7511	3.5225	4.2736	2	3'UTR	ENSG00000198146.5	""	Genic
chr15	38484649	38484669	chr15-1858	7.48	+	1.073	2.6418	3.7148	2	3'UTR	ENSG00000171262.11	FAM98B	Genic
chr15	40036090	40036110	chr15-217	19	-	3.4336	5.724	9.1576	2	3'UTR	ENSG00000140319.12	""	Genic
chr15	40036415	40036435	chr15-172	21.8	-	2.2533	4.1829	6.4362	2	CDS	ENSG00000140319.12	""	Genic
chr15	40036470	40036490	chr15-20	35.4	-	3.4336	4.4031	7.8366	2	CDS	ENSG00000140319.12	""	Genic
chr15	40036985	40037005	chr15-173	21.1	-	3.219	4.1829	7.4019	2	5'UTR	ENSG00000140319.12	""	Genic
chr15	40038282	40038302	chr15-1010	12.9	-	2.146	3.0822	5.2281	2	5'UTR	ENSG00000140319.12	""	Genic
chr15	40038371	40038391	chr15-16	23.8	-	2.4679	2.862	5.3299	2	5'UTR	ENSG00000140319.12	""	Genic
chr15	40038871	40038891	chr15-596	10.9	-	2.4679	2.862	5.3299	2	5'UTR	ENSG00000140319.12	""	Genic
chr15	40038914	40038934	chr15-273	10.9	-	2.0387	1.3209	3.3596	2	5'UTR	ENSG00000140319.12	""	Genic
chr15	40161100	40161120	chr15-352	18.4	+	3.3263	1.3209	4.6472	2	5'UTR	ENSG00000156970.14	""	Genic
chr15	40161241	40161261	chr15-353	16.3	+	2.146	4.1829	6.3289	2	CDS	ENSG00000156970.14	""	Genic
chr15	40165067	40165087	chr15-50	23.8	+	2.5752	3.7426	6.3178	2	CDS	ENSG00000156970.14	""	Genic
chr15	40170099	40170119	chr15-1369	6.12	+	1.1803	1.9814	3.1617	2	CDS	ENSG00000156970.14	""	Genic
chr15	40170533	40170553	chr15-218	13.6	+	1.6095	1.7612	3.3707	2	CDS	ENSG00000156970.14	""	Genic
chr15	40176621	40176641	chr15-1370	7.48	+	2.3606	2.4217	4.7823	2	CDS	ENSG00000156970.14	""	Genic
chr15	40183725	40183745	chr15-274	14.3	+	1.3949	2.2015	3.5964	2	CDS	ENSG00000156970.14	""	Genic
chr15	40183794	40183814	chr15-275	17	+	2.8971	2.6418	5.5389	2	CDS	ENSG00000156970.14	""	Genic
chr15	40185252	40185272	chr15-456	11.6	+	2.146	2.2015	4.3475	2	CDS	ENSG00000156970.14	""	Genic
chr15	40196713	40196733	chr15-1371	8.84	+	2.0387	2.6418	4.6805	2	CDS	ENSG00000156970.14	""	Genic
chr15	40198829	40198849	chr15-277	20.4	+	2.2533	7.9255	10.1788	2	Alu	ENSG00000156970.14	""	TE
chr15	40199622	40199642	chr15-278	15	+	1.2876	2.2015	3.4891	2	CDS	ENSG00000156970.14	""	Genic
chr15	40199704	40199724	chr15-1013	7.48	+	1.6095	3.5225	5.1319	2	CDS	ENSG00000156970.14	""	Genic
chr15	40200254	40200274	chr15-97	14.3	+	1.5022	1.7612	3.2634	2	CDS	ENSG00000156970.14	""	Genic
chr15	40206194	40206214	chr15-219	14.3	+	2.4679	1.1008	3.5686	2	CDS	ENSG00000156970.14	""	Genic
chr15	40220685	40220705	chr15-771	12.9	+	2.5752	0.8806	3.4558	2	CDS	ENSG00000137843.13	""	Genic
chr15	40385224	40385244	chr15-1375	15.6	+	1.3949	3.9628	5.3577	2	3'UTR-distal	ENSG00000128944.14	KNSTRN	Genic
chr15	40385452	40385472	chr15-772	10.9	+	1.2876	3.3023	4.5899	2	3'UTR-distal	ENSG00000128944.14	KNSTRN	Genic
chr15	40624200	40624220	chr15-775	10.9	+	3.1117	0.2202	3.3318	2	CDS	ENSG00000137812.21	KNL1	Genic
chr15	40687925	40687945	chr15-601	27.2	-	2.7898	4.8434	7.6332	2	LTR/ERV	ENSG00000245849.9	RAD51-AS1	TE
chr15	40807751	40807771	chr15-778	8.84	+	1.6095	2.2015	3.811	2	CDS	ENSG00000166140.17	ZFYVE19	Genic
chr15	41279642	41279662	chr15-779	8.84	+	1.5022	1.9814	3.4836	2	3'UTR	ENSG00000187446.13	""	Genic
chr15	41279818	41279838	chr15-602	12.9	+	2.2533	1.5411	3.7944	2	3'UTR	ENSG00000187446.13	""	Genic
chr15	41281492	41281512	chr15-780	9.52	+	1.8241	1.3209	3.145	2	3'UTR	ENSG00000187446.13	""	Genic
chr15	41281551	41281571	chr15-781	9.52	+	1.1803	2.862	4.0423	2	3'UTR	ENSG00000187446.13	""	Genic
chr15	41284099	41284119	chr15-782	10.2	+	2.5752	2.2015	4.7767	2	3'UTR-distal	ENSG00000247556.8	OIP5-AS1	Genic
chr15	41285237	41285257	chr15-58	15	+	1.3949	2.4217	3.8166	2	3'UTR-distal	ENSG00000247556.8	OIP5-AS1	Genic
chr15	41286074	41286094	chr15-603	10.9	+	1.8241	2.4217	4.2458	2	3'UTR-distal	ENSG00000247556.8	OIP5-AS1	Genic
chr15	41294560	41294580	chr15-1887	10.2	+	1.1803	1.9814	3.1617	2	LINE	ENSG00000247556.8	OIP5-AS1	TE
chr15	41300649	41300669	chr15-279	22.4	+	2.3606	6.1643	8.5249	2	First intron	ENSG00000247556.8	OIP5-AS1	Genic
chr15	41302133	41302153	chr15-604	11.6	+	1.7168	3.7426	5.4594	2	First intron	ENSG00000247556.8	OIP5-AS1	Genic
chr15	41304119	41304139	chr15-2659	12.2	+	1.9314	1.3209	3.2523	2	First intron	ENSG00000247556.8	OIP5-AS1	Genic
chr15	41332961	41332981	chr15-605	10.2	+	2.8971	0.2202	3.1172	2	CDS	ENSG00000137804.15	""	Genic
chr15	41349111	41349131	chr15-220	11.6	+	2.4679	2.6418	5.1097	2	CDS	ENSG00000137804.15	""	Genic
chr15	41349203	41349223	chr15-457	11.6	+	3.6482	2.6418	6.29	2	CDS	ENSG00000137804.15	""	Genic
chr15	41350986	41351006	chr15-174	14.3	+	1.1803	2.6418	3.8221	2	CDS	ENSG00000137804.15	""	Genic
chr15	41358240	41358260	chr15-784	10.9	+	1.3949	2.6418	4.0367	2	CDS	ENSG00000137804.15	""	Genic
chr15	41365416	41365436	chr15-24	22.4	+	3.219	2.4217	5.6407	2	CDS	ENSG00000137804.15	""	Genic
chr15	41375722	41375742	chr15-116	15.6	+	2.146	1.5411	3.6871	2	CDS	ENSG00000137804.15	""	Genic
chr15	41377289	41377309	chr15-175	18.4	+	3.6482	6.1643	9.8125	2	CDS	ENSG00000137804.15	""	Genic
chr15	41380107	41380127	chr15-11	34	+	2.3606	5.0635	7.4241	2	CDS	ENSG00000137804.15	""	Genic
chr15	41380263	41380283	chr15-356	31.3	+	4.7212	1.7612	6.4824	2	3'UTR	ENSG00000137804.15	""	Genic
chr15	41380461	41380481	chr15-1030	17.7	+	3.0044	2.2015	5.2059	2	3'UTR	ENSG00000137804.15	""	Genic
chr15	41507290	41507310	chr15-459	15	-	3.219	2.2015	5.4205	2	3'UTR-distal	ENSG00000062524.17	""	Genic
chr15	41512049	41512069	chr15-785	8.84	-	2.2533	1.3209	3.5742	2	3'UTR-distal	ENSG00000062524.17	""	Genic
chr15	41713467	41713487	chr15-786	7.48	+	0.7511	2.4217	3.1728	2	CDS	ENSG00000174197.20	""	Genic
chr15	41839098	41839118	chr15-788	8.84	+	2.146	1.9814	4.1274	2	3'UTR-distal	ENSG00000168970.22	JMJD7-PLA2G4B	Genic
chr15	41839727	41839747	chr15-607	10.2	+	1.6095	2.2015	3.811	2	3'UTR-distal	ENSG00000168970.22	JMJD7-PLA2G4B	Genic
chr15	42528374	42528394	chr15-1402	7.48	+	1.073	1.9814	3.0544	2	CDS	ENSG00000092531.11	""	Genic
chr15	42741244	42741264	chr15-1906	12.9	-	1.5022	2.2015	3.7037	2	3'UTR	ENSG00000128881.19	""	Genic
chr15	42840959	42840979	chr15-461	14.3	-	1.9314	1.9814	3.9128	2	Deep intronic	ENSG00000128881.19	""	Genic
chr15	43185729	43185749	chr15-1405	15	+	2.6825	1.9814	4.6639	2	3'UTR-distal	ENSG00000166946.15	""	Genic
chr15	43191601	43191621	chr15-1407	8.84	+	1.3949	2.2015	3.5964	2	3'UTR-distal	ENSG00000166946.15	""	Genic
chr15	43192965	43192985	chr15-1912	6.12	+	1.1803	1.9814	3.1617	2	3'UTR-distal	ENSG00000166946.15	""	Genic
chr15	43421297	43421317	chr15-610	12.2	-	1.6095	2.4217	4.0312	2	Deep intronic	ENSG00000067369.15	""	Genic
chr15	43658738	43658758	chr15-462	17	-	1.073	3.9628	5.0358	2	Deep intronic	""	""	Genic
chr15	43658912	43658932	chr15-280	17	-	3.8628	5.2837	9.1465	2	Deep intronic	""	""	Genic
chr15	43659001	43659021	chr15-463	17.7	-	2.8971	4.8434	7.7405	2	Deep intronic	""	""	Genic
chr15	43659154	43659174	chr15-464	22.4	-	4.292	7.7054	11.9974	2	Deep intronic	""	""	Genic
chr15	43659388	43659408	chr15-1039	11.6	-	1.3949	3.0822	4.477	2	Deep intronic	""	""	Genic
chr15	43765462	43765482	chr15-59	17	+	1.9314	1.5411	3.4725	2	CDS	ENSG00000167004.15	""	Genic
chr15	43770252	43770272	chr15-98	19	+	2.3606	1.7612	4.1218	2	CDS	ENSG00000167004.15	""	Genic
chr15	43771177	43771197	chr15-357	16.3	+	3.4336	3.7426	7.1762	2	3'UTR	ENSG00000167004.15	""	Genic
chr15	43771276	43771296	chr15-223	20.4	+	3.9701	5.2837	9.2538	2	3'UTR	ENSG00000167004.15	""	Genic
chr15	43792371	43792391	chr15-176	23.8	+	8.1547	4.8434	12.9981	2	5'UTR	ENSG00000140264.23	""	Genic
chr15	43792989	43793009	chr15-3	67.3	+	7.9401	6.8248	14.7649	2	5'UTR	ENSG00000140264.23	""	Genic
chr15	43793074	43793094	chr15-80	19	+	5.2577	8.586	13.8437	2	CDS	ENSG00000140264.23	""	Genic
chr15	43793700	43793720	chr15-4	51	+	14.0562	9.9069	23.9631	2	CDS	ENSG00000140264.23	""	Genic
chr15	43793791	43793811	chr15-178	21.1	+	5.2577	1.7612	7.0189	2	3'UTR	ENSG00000140264.23	""	Genic
chr15	43793928	43793948	chr15-60	64.6	+	13.5197	3.9628	17.4824	2	3'UTR	ENSG00000140264.23	""	Genic
chr15	43800649	43800669	chr15-617	11.6	+	1.8241	1.7612	3.5853	2	3'UTR-distal	ENSG00000242028.9	HYPK	Genic
chr15	43801719	43801739	chr15-466	12.9	+	0.9657	2.6418	3.6075	2	3'UTR	ENSG00000242028.9	HYPK	Genic
chr15	44511310	44511330	chr15-619	10.2	+	1.7168	1.7612	3.478	2	Deep intronic	ENSG00000137770.15	""	Genic
chr15	44551508	44551528	chr15-467	13.6	+	1.5022	4.4031	5.9053	2	CDS	ENSG00000104131.14	""	Genic
chr15	44554564	44554584	chr15-25	27.9	+	1.8241	5.2837	7.1078	2	CDS	ENSG00000104131.14	""	Genic
chr15	44596916	44596936	chr15-150	12.2	-	1.5022	1.7612	3.2634	2	CDS	ENSG00000104133.17	""	Genic
chr15	44599947	44599967	chr15-1418	12.9	-	1.7168	1.9814	3.6982	2	LINE	ENSG00000104133.17	""	TE
chr15	44711585	44711605	chr15-282	11.6	+	3.3263	0.6605	3.9867	2	CDS	ENSG00000166710.24	""	Genic
chr15	44715500	44715520	chr15-621	8.84	+	1.6095	1.9814	3.5909	2	CDS	ENSG00000166710.24	""	Genic
chr15	44715645	44715665	chr15-622	8.84	+	3.219	2.862	6.081	2	CDS	ENSG00000166710.24	""	Genic
chr15	44716335	44716355	chr15-360	15.6	+	1.2876	2.6418	3.9294	2	3'UTR	ENSG00000166710.24	""	Genic
chr15	44717677	44717697	chr15-225	22.4	+	3.4336	3.9628	7.3963	2	3'UTR	ENSG00000166710.24	""	Genic
chr15	44717812	44717832	chr15-469	15.6	+	4.292	1.5411	5.833	2	3'UTR	ENSG00000166710.24	""	Genic
chr15	44718081	44718101	chr15-470	11.6	+	2.6825	4.6232	7.3057	2	3'UTR	ENSG00000166710.24	""	Genic
chr15	48331779	48331799	chr15-1421	8.84	+	1.7168	1.5411	3.2579	2	CDS	ENSG00000128951.15	""	Genic
chr15	48331915	48331935	chr15-1422	14.3	+	1.6095	1.9814	3.5909	2	First intron	ENSG00000128951.15	""	Genic
chr15	48342028	48342048	chr15-361	12.2	+	1.3949	1.9814	3.3763	2	3'UTR	ENSG00000128951.15	""	Genic
chr15	48722741	48722761	chr15-1050	6.8	-	2.0387	1.7612	3.7999	2	LTR/ERV	""	""	TE
chr15	48738320	48738340	chr15-1051	8.16	-	2.146	1.1008	3.2468	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	48741289	48741309	chr15-796	15	-	1.5022	3.7426	5.2448	2	3'UTR	ENSG00000103995.14	CEP152	Genic
chr15	48741670	48741690	chr15-179	14.3	-	1.7168	2.2015	3.9183	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	48744932	48744952	chr15-798	9.52	-	1.1803	3.3023	4.4826	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	48781214	48781234	chr15-1058	7.48	-	0.8584	2.862	3.7204	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	48783993	48784013	chr15-799	9.52	-	2.4679	3.0822	5.55	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	48797458	48797478	chr15-1425	9.52	-	1.6095	2.4217	4.0312	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	48797698	48797718	chr15-151	14.3	-	1.5022	2.2015	3.7037	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	48797961	48797981	chr15-1947	8.84	-	1.5022	2.2015	3.7037	2	CDS	ENSG00000103995.14	CEP152	Genic
chr15	49116191	49116211	chr15-1949	7.48	-	0.5365	2.862	3.3985	2	3'UTR-distal	""	""	Genic
chr15	49209048	49209068	chr15-2763	7.48	+	0.4292	2.6418	3.071	2	LINE	ENSG00000156958.16	""	TE
chr15	49223886	49223906	chr15-1431	19	+	1.8241	2.862	4.6861	2	LINE	ENSG00000156958.16	""	TE
chr15	49225209	49225229	chr15-227	19.7	+	2.5752	2.6418	5.217	2	LINE	ENSG00000156958.16	""	TE
chr15	49225459	49225479	chr15-81	59.2	+	7.6182	9.6868	17.305	2	Deep intronic	ENSG00000156958.16	""	Genic
chr15	49226651	49226671	chr15-1435	10.2	+	0.4292	3.5225	3.9517	2	LINE	ENSG00000156958.16	""	TE
chr15	49227194	49227214	chr15-801	10.9	+	0.7511	2.862	3.6131	2	LINE	ENSG00000156958.16	""	TE
chr15	49227306	49227326	chr15-802	9.52	+	0.6438	3.0822	3.726	2	LINE	ENSG00000156958.16	""	TE
chr15	49227555	49227575	chr15-1063	10.2	+	0.8584	3.5225	4.3809	2	LINE	ENSG00000156958.16	""	TE
chr15	49227732	49227752	chr15-1064	10.9	+	0.7511	2.6418	3.3929	2	LINE	ENSG00000156958.16	""	TE
chr15	49228720	49228740	chr15-1957	14.3	+	2.0387	1.3209	3.3596	2	Alu	ENSG00000156958.16	""	TE
chr15	49228882	49228902	chr15-1066	18.4	+	1.5022	3.5225	5.0246	2	Alu	ENSG00000156958.16	""	TE
chr15	49229350	49229370	chr15-152	29.2	+	3.9701	11.6682	15.6382	2	LINE	ENSG00000156958.16	""	TE
chr15	49229532	49229552	chr15-99	23.8	+	3.3263	7.7054	11.0317	2	LINE	ENSG00000156958.16	""	TE
chr15	49229600	49229620	chr15-284	22.4	+	3.0044	7.0449	10.0493	2	LINE	ENSG00000156958.16	""	TE
chr15	50370327	50370347	chr15-806	12.9	+	2.4679	0.8806	3.3485	2	Alu	ENSG00000244879.11	GABPB1-AS1	TE
chr15	50370660	50370680	chr15-285	16.3	+	5.5795	2.2015	7.7811	2	Proximal intronic	ENSG00000244879.11	GABPB1-AS1	Genic
chr15	50371010	50371030	chr15-1068	16.3	+	3.1117	0.2202	3.3318	2	LINE	ENSG00000244879.11	GABPB1-AS1	TE
chr15	50611005	50611025	chr15-1448	7.48	-	1.7168	3.0822	4.7989	2	Proximal intronic	ENSG00000092439.16	TRPM7	Genic
chr15	51078604	51078624	chr15-808	14.3	+	1.9314	2.6418	4.5732	2	First intron	ENSG00000259240.2	MIR4713HG	Genic
chr15	51459639	51459659	chr15-630	6.8	-	1.073	2.2015	3.2745	2	CDS	ENSG00000104093.15	""	Genic
chr15	51971417	51971437	chr15-1986	7.48	-	0.6438	2.862	3.5058	2	First intron	ENSG00000166477.14	""	Genic
chr15	52065377	52065397	chr15-1457	9.52	+	1.2876	2.6418	3.9294	2	3'UTR	ENSG00000069956.15	""	Genic
chr15	52547311	52547331	chr15-477	16.3	-	2.4679	1.1008	3.5686	2	3'UTR	ENSG00000128989.12	""	Genic
chr15	52551251	52551271	chr15-809	10.2	-	1.8241	2.6418	4.4659	2	3'UTR	ENSG00000128989.12	""	Genic
chr15	52551736	52551756	chr15-810	12.2	-	2.146	1.7612	3.9072	2	3'UTR	ENSG00000128989.12	""	Genic
chr15	52551833	52551853	chr15-478	15.6	-	2.6825	2.2015	4.884	2	3'UTR	ENSG00000128989.12	""	Genic
chr15	52552020	52552040	chr15-811	7.48	-	2.3606	1.3209	3.6815	2	CDS	ENSG00000128989.12	""	Genic
chr15	52568870	52568890	chr15-365	10.2	-	2.3606	1.7612	4.1218	2	CDS	ENSG00000128989.12	""	Genic
chr15	55181582	55181602	chr15-813	8.84	-	1.7168	2.4217	4.1385	2	3'UTR	ENSG00000137876.12	""	Genic
