chr	start	end	name	score	strand	NormedTC_ENCFF149LRA	NormedTC_ENCFF669MUY	NormedTC_K562_HNRNPC	BC_K562_HNRNPC	annotation	gene	external_gene_name	grouped_annotation
chr10	73049091	73049111	chr10-137	27.6	-	1.5981	3.8459	5.444	2	Alu	ENSG00000122884.14	""	TE
chr10	73049973	73049993	chr10-1112	9.48	-	0.8605	1.1894	2.05	2	Alu	ENSG00000122884.14	""	TE
chr10	73050138	73050158	chr10-338	46.2	-	3.4421	6.3833	9.8254	2	Alu	ENSG00000122884.14	""	TE
chr10	73051114	73051134	chr10-475	9.76	-	2.9503	1.7842	4.7345	2	CDS	ENSG00000122884.14	""	Genic
chr10	73051215	73051235	chr10-72	8.9	-	1.2293	1.1101	2.3395	2	CDS	ENSG00000122884.14	""	Genic
chr10	73051357	73051377	chr10-5075	8.62	-	0.4917	1.2291	1.7208	2	Proximal intronic	ENSG00000122884.14	""	Genic
chr10	73051442	73051462	chr10-9683	8.04	-	0.7376	1.2687	2.0063	2	Proximal intronic	ENSG00000122884.14	""	Genic
chr10	73051732	73051752	chr10-2026	9.48	-	1.2293	1.467	2.6963	2	Alu	ENSG00000122884.14	""	TE
chr10	73053393	73053413	chr10-1113	7.47	-	1.2293	1.3877	2.617	2	CDS	ENSG00000122884.14	""	Genic
chr10	73054850	73054870	chr10-339	8.04	-	1.721	1.7445	3.4655	2	LINE	ENSG00000122884.14	""	TE
chr10	73055031	73055051	chr10-2710	7.75	-	0.6147	1.0705	1.6852	2	Alu	ENSG00000122884.14	""	TE
chr10	73056162	73056182	chr10-841	8.04	-	0.8605	1.3084	2.1689	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73056602	73056622	chr10-340	13.2	-	1.5981	3.6873	5.2854	2	Alu	ENSG00000122884.14	""	TE
chr10	73057040	73057060	chr10-179	67.5	-	3.9338	8.2071	12.1409	2	Alu	ENSG00000122884.14	""	TE
chr10	73057298	73057318	chr10-1513	12.6	-	1.721	2.2599	3.981	2	Alu	ENSG00000122884.14	""	TE
chr10	73057464	73057484	chr10-476	53.7	-	5.286	7.4142	12.7002	2	Alu	ENSG00000122884.14	""	TE
chr10	73057897	73057917	chr10-634	21.3	-	1.4752	3.2908	4.766	2	Alu	ENSG00000122884.14	""	TE
chr10	73058065	73058085	chr10-249	74.4	-	3.6879	10.6257	14.3136	2	Alu	ENSG00000122884.14	""	TE
chr10	73059391	73059411	chr10-180	22.7	-	2.7045	3.489	6.1935	2	Alu	ENSG00000122884.14	""	TE
chr10	73059914	73059934	chr10-341	11.2	-	2.4586	3.608	6.0666	2	Alu	ENSG00000122884.14	""	TE
chr10	73060628	73060648	chr10-1116	7.47	-	1.2293	2.5771	3.8064	2	LINE	ENSG00000122884.14	""	TE
chr10	73060776	73060796	chr10-842	15.2	-	1.844	2.815	4.659	2	LINE	ENSG00000122884.14	""	TE
chr10	73061408	73061428	chr10-843	9.48	-	1.721	2.141	3.862	2	LINE	ENSG00000122884.14	""	TE
chr10	73061830	73061850	chr10-478	29.3	-	2.2128	4.5199	6.7326	2	Alu	ENSG00000122884.14	""	TE
chr10	73061990	73062010	chr10-181	31	-	3.3191	5.7093	9.0284	2	Alu	ENSG00000122884.14	""	TE
chr10	73062148	73062168	chr10-635	11.5	-	1.2293	2.141	3.3703	2	LINE	ENSG00000122884.14	""	TE
chr10	73062724	73062744	chr10-3708	6.03	-	1.721	1.0705	2.7915	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73063108	73063128	chr10-3709	4.59	-	0.6147	1.8635	2.4781	2	LTR/ERV	ENSG00000122884.14	""	TE
chr10	73063966	73063986	chr10-1117	8.9	-	1.3522	1.7842	3.1364	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73064284	73064304	chr10-1118	11.8	-	0.6147	2.141	2.7556	2	Alu	ENSG00000122884.14	""	TE
chr10	73064455	73064475	chr10-1119	18.7	-	3.3191	2.1806	5.4998	2	Alu	ENSG00000122884.14	""	TE
chr10	73064650	73064670	chr10-845	12.1	-	2.0898	3.0925	5.1824	2	Alu	ENSG00000122884.14	""	TE
chr10	73064807	73064827	chr10-1120	11.5	-	0.8605	1.8635	2.724	2	Alu	ENSG00000122884.14	""	TE
chr10	73065207	73065227	chr10-637	14.9	-	1.721	2.2203	3.9413	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73065280	73065300	chr10-1121	9.19	-	1.1064	1.3084	2.4148	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73065406	73065426	chr10-1516	9.19	-	1.1064	1.7049	2.8112	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73065543	73065563	chr10-342	10.6	-	1.721	2.022	3.7431	2	LINE	ENSG00000122884.14	""	TE
chr10	73065672	73065692	chr10-479	14.1	-	1.3522	2.4185	3.7708	2	LINE	ENSG00000122884.14	""	TE
chr10	73065750	73065770	chr10-846	14.1	-	2.3357	2.8547	5.1903	2	LINE	ENSG00000122884.14	""	TE
chr10	73067520	73067540	chr10-3710	5.17	-	1.4752	0.9119	2.3871	2	LINE	ENSG00000122884.14	""	TE
chr10	73068359	73068379	chr10-3711	5.74	-	0.8605	1.348	2.2085	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73068924	73068944	chr10-2032	5.17	-	1.2293	0.9516	2.1809	2	CDS	ENSG00000122884.14	""	Genic
chr10	73069675	73069695	chr10-5086	5.17	-	1.1064	0.7137	1.82	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73070709	73070729	chr10-1517	6.32	-	0.7376	1.348	2.0856	2	Deep intronic	ENSG00000122884.14	""	Genic
chr10	73071166	73071186	chr10-2719	7.47	-	0.9834	1.0705	2.0539	2	Alu	ENSG00000122884.14	""	TE
chr10	73071416	73071436	chr10-2720	5.46	-	1.2293	0.9912	2.2205	2	Satellite/LC	ENSG00000122884.14	""	TE
chr10	73072146	73072166	chr10-11	31.3	-	2.8274	2.1806	5.0081	2	CDS	ENSG00000122884.14	""	Genic
chr10	73073793	73073813	chr10-41	11.2	-	1.844	1.9824	3.8264	2	CDS	ENSG00000122884.14	""	Genic
chr10	73074834	73074854	chr10-1518	6.89	-	1.2293	0.9912	2.2205	2	CDS	ENSG00000122884.14	""	Genic
chr10	73077788	73077808	chr10-3712	6.61	-	1.2293	0.9119	2.1412	2	5'UTR	ENSG00000122884.14	""	Genic
chr10	73081988	73082008	chr10-5088	10.1	-	1.5981	1.2291	2.8272	2	Alu	ENSG00000122884.14	""	TE
chr10	73086916	73086936	chr10-344	29.9	-	1.844	3.7269	5.5709	2	Alu	ENSG00000122884.14	""	TE
chr10	73091917	73091937	chr10-9702	4.02	-	1.1064	0.5947	1.7011	2	First intron	ENSG00000122884.14	""	Genic
chr10	73093812	73093832	chr10-7002	9.48	-	0.8605	1.0308	1.8914	2	Alu	ENSG00000122884.14	""	TE
chr10	73095211	73095231	chr10-5097	9.19	-	0.7376	1.0705	1.8081	2	Satellite/LC	ENSG00000122884.14	""	TE
chr10	73095497	73095517	chr10-5098	14.4	-	1.4752	1.5066	2.9818	2	First intron	ENSG00000122884.14	""	Genic
chr10	73096187	73096207	chr10-91	10.9	-	0.7376	1.9031	2.6407	2	5'UTR	ENSG00000122884.14	""	Genic
chr10	73096275	73096295	chr10-92	13.2	-	1.3522	2.1013	3.4536	2	5'UTR	ENSG00000122884.14	""	Genic
chr10	73096394	73096414	chr10-33	28.4	-	2.3357	3.7269	6.0626	2	First intron	ENSG00000122884.14	""	Genic
chr10	73096833	73096853	chr10-1123	12.9	-	1.9669	1.6256	3.5925	2	5'UTR	ENSG00000122884.14	""	Genic
chr10	73103313	73103333	chr10-7006	6.61	-	0.8605	0.8723	1.7328	2	Alu	""	""	TE
chr10	73121195	73121215	chr10-9713	4.88	-	0.9834	0.674	1.6575	2	Alu	""	""	TE
chr10	73125710	73125730	chr10-5099	6.61	+	0.6147	1.1101	1.7248	2	Alu	ENSG00000166321.15	""	TE
chr10	73134153	73134173	chr10-5100	6.32	-	1.1064	0.674	1.7804	2	3'UTR	ENSG00000122882.12	""	Genic
chr10	73232154	73232174	chr10-3719	3.45	-	0.6147	1.0308	1.6455	2	3'UTR-distal	""	""	Genic
chr10	73237861	73237881	chr10-2726	13.2	-	1.9669	1.5859	3.5528	2	3'UTR-distal	""	""	Genic
chr10	73239448	73239468	chr10-3721	4.31	-	1.721	0.5947	2.3158	2	3'UTR-distal	""	""	Genic
chr10	73240687	73240707	chr10-345	19.2	-	1.5981	2.4185	4.0166	2	3'UTR-distal	""	""	Genic
chr10	73240822	73240842	chr10-3723	4.02	-	0.9834	0.793	1.7764	2	3'UTR-distal	""	""	Genic
chr10	73243339	73243359	chr10-1519	5.17	-	1.721	1.3877	3.1087	2	3'UTR	ENSG00000213551.8	""	Genic
chr10	73244465	73244485	chr10-2727	12.1	-	0.8605	1.7049	2.5654	2	3'UTR-distal	ENSG00000213551.8	""	Genic
chr10	73245956	73245976	chr10-7020	4.59	-	0.9834	0.674	1.6575	2	3'UTR-distal	ENSG00000213551.8	""	Genic
chr10	73246718	73246738	chr10-3726	4.02	-	1.4752	0.8326	2.3078	2	3'UTR-distal	ENSG00000213551.8	""	Genic
chr10	73247750	73247770	chr10-2035	6.61	-	1.3522	1.1498	2.502	2	3'UTR-distal	ENSG00000288559.1	""	Genic
chr10	73249006	73249026	chr10-2036	10.6	-	1.721	2.5375	4.2585	2	3'UTR	ENSG00000182180.15	""	Genic
chr10	73249520	73249540	chr10-1124	8.9	-	0.7376	1.0705	1.8081	2	3'UTR	ENSG00000182180.15	""	Genic
chr10	73250198	73250218	chr10-1520	43.4	-	2.3357	5.2732	7.6089	2	3'UTR	ENSG00000182180.15	""	Genic
chr10	73250526	73250546	chr10-250	11.8	-	1.721	3.2511	4.9722	2	3'UTR	ENSG00000182180.15	""	Genic
chr10	73250615	73250635	chr10-73	19.8	-	1.9669	5.63	7.5969	2	3'UTR	ENSG00000182180.15	""	Genic
chr10	73367399	73367419	chr10-1521	7.18	-	1.3522	0.674	2.0263	2	3'UTR-distal	""	""	Genic
chr10	73367567	73367587	chr10-3729	9.19	-	0.7376	1.2291	1.9667	2	3'UTR-distal	""	""	Genic
chr10	73369637	73369657	chr10-2729	7.18	-	1.2293	0.793	2.0223	2	3'UTR-distal	""	""	Genic
chr10	73370211	73370231	chr10-9746	4.02	-	0.8605	0.793	1.6535	2	3'UTR-distal	""	""	Genic
chr10	73373661	73373681	chr10-3730	4.88	-	0.8605	0.793	1.6535	2	3'UTR-distal	""	""	Genic
chr10	73373971	73373991	chr10-251	21.3	-	2.7045	2.3392	5.0437	2	3'UTR-distal	""	""	Genic
chr10	73374965	73374985	chr10-2042	15.8	-	1.4752	1.8635	3.3386	2	3'UTR-distal	""	""	Genic
chr10	73376041	73376061	chr10-2732	6.61	-	0.8605	0.9119	1.7724	2	3'UTR	ENSG00000138279.17	""	Genic
chr10	73379705	73379725	chr10-2733	8.62	-	0.9834	1.2687	2.2522	2	Satellite/LC	ENSG00000138279.17	""	TE
chr10	73416468	73416488	chr10-849	9.76	+	1.3522	0.9119	2.2641	2	Alu	""	""	TE
chr10	73435907	73435927	chr10-7029	9.19	-	0.9834	1.1101	2.0936	2	3'UTR-distal	""	""	Genic
chr10	73442980	73443000	chr10-1126	20.4	-	1.3522	2.7357	4.088	2	Alu	ENSG00000107758.17	""	TE
chr10	73447863	73447883	chr10-2735	8.33	-	1.5981	1.2291	2.8272	2	Deep intronic	ENSG00000107758.17	""	Genic
chr10	73471506	73471526	chr10-2736	3.73	-	1.4752	0.4361	1.9113	2	CDS	ENSG00000107758.17	""	Genic
chr10	73476125	73476145	chr10-7034	5.74	-	0.8605	0.9119	1.7724	2	Alu	ENSG00000107758.17	""	TE
chr10	73477888	73477908	chr10-1522	11.5	-	1.4752	1.1894	2.6646	2	Alu	ENSG00000107758.17	""	TE
chr10	73483629	73483649	chr10-1127	8.04	-	0.9834	0.9912	1.9746	2	Alu	ENSG00000107758.17	""	TE
chr10	73493248	73493268	chr10-5116	8.62	-	0.9834	1.1498	2.1332	2	3'UTR-distal	ENSG00000107758.17	""	Genic
chr10	73609983	73610003	chr10-638	18.7	-	1.721	2.5771	4.2982	2	Alu	ENSG00000166348.21	""	TE
chr10	73610158	73610178	chr10-2737	12.1	-	0.6147	1.5066	2.1213	2	Alu	ENSG00000166348.21	""	TE
chr10	73614534	73614554	chr10-5118	7.47	-	0.3688	1.2687	1.6375	2	Alu	ENSG00000166348.21	""	TE
chr10	73704810	73704830	chr10-2739	6.03	-	0.7376	1.0308	1.7684	2	Alu	ENSG00000242288.9	BMS1P4-AGAP5	TE
chr10	73716884	73716904	chr10-481	9.76	-	1.1064	1.1498	2.2562	2	Deep intronic	ENSG00000242288.9	BMS1P4-AGAP5	Genic
chr10	73717388	73717408	chr10-2740	5.46	-	1.3522	1.467	2.8192	2	Deep intronic	ENSG00000242288.9	BMS1P4-AGAP5	Genic
chr10	73718317	73718337	chr10-2047	10.3	-	0.6147	1.5859	2.2006	2	Alu	ENSG00000242288.9	BMS1P4-AGAP5	TE
chr10	73718860	73718880	chr10-851	18.1	-	1.844	2.6168	4.4607	2	Proximal intronic	ENSG00000242288.9	BMS1P4-AGAP5	Genic
chr10	73735529	73735549	chr10-2048	6.61	+	0.4917	1.1498	1.6415	2	First intron	ENSG00000250959.5	GLUD1P3	Genic
chr10	73735832	73735852	chr10-2741	12.9	+	0.6147	1.7049	2.3195	2	Alu	ENSG00000250959.5	GLUD1P3	TE
chr10	73737382	73737402	chr10-852	9.76	+	0.8605	1.3877	2.2482	2	Alu	ENSG00000291043.2	""	TE
chr10	73743568	73743588	chr10-5123	4.88	-	1.1064	1.1498	2.2562	2	LINE	ENSG00000279088.3	""	TE
chr10	73747684	73747704	chr10-3739	6.61	+	0.7376	0.9516	1.6891	2	Alu	ENSG00000176986.17	""	TE
chr10	73748761	73748781	chr10-5125	9.19	+	1.5981	0.793	2.3911	2	Alu	ENSG00000176986.17	""	TE
chr10	73756936	73756956	chr10-5126	8.62	+	0.4917	1.1498	1.6415	2	Alu	ENSG00000176986.17	""	TE
chr10	73763714	73763734	chr10-3740	3.73	+	1.2293	0.8723	2.1016	2	Deep intronic	ENSG00000176986.17	""	Genic
chr10	73767382	73767402	chr10-7052	6.03	+	1.2293	0.7533	1.9826	2	Alu	ENSG00000176986.17	""	TE
chr10	73775555	73775575	chr10-853	5.17	+	1.1064	1.0308	2.1372	2	3'UTR	ENSG00000196968.11	FUT11	Genic
chr10	73776270	73776290	chr10-138	25.8	+	3.1962	4.4009	7.5971	2	3'UTR-distal	""	""	Genic
chr10	73776406	73776426	chr10-252	64	+	5.0402	7.9692	13.0094	2	3'UTR-distal	""	""	Genic
chr10	73777005	73777025	chr10-482	13.2	+	0.4917	2.2203	2.712	2	3'UTR-distal	""	""	Genic
chr10	73777264	73777284	chr10-1128	6.61	+	1.1064	1.1894	2.2958	2	3'UTR-distal	""	""	Genic
chr10	73777758	73777778	chr10-253	12.9	+	1.2293	2.2599	3.4892	2	3'UTR-distal	""	""	Genic
chr10	73777875	73777895	chr10-483	10.9	+	1.721	7.2556	8.9766	2	3'UTR-distal	""	""	Genic
chr10	73777885	73777905	chr10-93	49.7	+	1.721	7.3745	9.0956	2	3'UTR-distal	""	""	Genic
chr10	73777968	73777988	chr10-484	7.75	+	1.4752	1.8635	3.3386	2	3'UTR-distal	""	""	Genic
chr10	73778051	73778071	chr10-1129	17.8	+	1.5981	2.8943	4.4924	2	3'UTR-distal	""	""	Genic
chr10	73778496	73778516	chr10-1130	6.32	+	0.7376	1.2291	1.9667	2	3'UTR-distal	""	""	Genic
chr10	73804607	73804627	chr10-5129	7.47	-	1.3522	1.1894	2.5417	2	3'UTR-distal	ENSG00000166507.20	""	Genic
chr10	73903137	73903157	chr10-3743	8.9	+	0.6147	1.0705	1.6852	2	Alu	""	""	TE
chr10	73932654	73932674	chr10-5131	14.1	-	1.2293	1.5859	2.8152	2	Alu	""	""	TE
chr10	74000287	74000307	chr10-348	64	+	3.565	8.0089	11.5739	2	Alu	ENSG00000035403.19	""	TE
chr10	74000425	74000445	chr10-182	18.4	+	2.4586	2.7357	5.1943	2	Alu	ENSG00000035403.19	""	TE
chr10	74001107	74001127	chr10-1524	7.47	+	1.3522	1.5463	2.8985	2	First intron	ENSG00000035403.19	""	Genic
chr10	74003282	74003302	chr10-854	6.61	+	0.7376	1.4273	2.1649	2	First intron	ENSG00000035403.19	""	Genic
chr10	74003599	74003619	chr10-1525	6.03	+	0.4917	1.2291	1.7208	2	First intron	ENSG00000035403.19	""	Genic
chr10	74003734	74003754	chr10-639	10.9	+	1.2293	1.7049	2.9342	2	Alu	ENSG00000035403.19	""	TE
chr10	74004304	74004324	chr10-1526	7.47	+	0.6147	1.3084	1.923	2	Other SINE	ENSG00000035403.19	""	TE
chr10	74004893	74004913	chr10-640	13.5	+	1.5981	2.141	3.7391	2	Alu	ENSG00000035403.19	""	TE
chr10	74005275	74005295	chr10-3748	32.2	+	2.7045	3.8855	6.59	2	Alu	ENSG00000035403.19	""	TE
chr10	74005534	74005554	chr10-641	8.9	+	1.4752	1.5066	2.9818	2	Alu	ENSG00000035403.19	""	TE
chr10	74005637	74005657	chr10-1132	10.9	+	0.9834	2.022	3.0055	2	First intron	ENSG00000035403.19	""	Genic
chr10	74005910	74005930	chr10-855	39.1	+	4.1797	4.8767	9.0564	2	Alu	ENSG00000035403.19	""	TE
chr10	74006075	74006095	chr10-485	12.9	+	0.9834	2.2203	3.2037	2	Alu	ENSG00000035403.19	""	TE
chr10	74006220	74006240	chr10-3749	6.03	+	0.6147	1.1894	1.8041	2	First intron	ENSG00000035403.19	""	Genic
chr10	74006991	74007011	chr10-1133	9.48	+	1.3522	1.1894	2.5417	2	Alu	ENSG00000035403.19	""	TE
chr10	74007153	74007173	chr10-2745	6.32	+	0.8605	0.9119	1.7724	2	Alu	ENSG00000035403.19	""	TE
chr10	74007522	74007542	chr10-856	33	+	2.7045	4.7181	7.4226	2	Alu	ENSG00000035403.19	""	TE
chr10	74007828	74007848	chr10-486	22.7	+	1.5981	3.5287	5.1268	2	Alu	ENSG00000035403.19	""	TE
chr10	74008690	74008710	chr10-2053	5.46	+	1.3522	0.8723	2.2245	2	First intron	ENSG00000035403.19	""	Genic
chr10	74009643	74009663	chr10-349	16.9	+	1.844	2.2996	4.1435	2	Alu	ENSG00000035403.19	""	TE
chr10	74012578	74012598	chr10-3751	4.88	+	0.8605	1.1101	1.9707	2	First intron	ENSG00000035403.19	""	Genic
chr10	74014423	74014443	chr10-2748	7.75	+	0.9834	1.1894	2.1729	2	Alu	ENSG00000035403.19	""	TE
chr10	74016016	74016036	chr10-184	23	+	1.9669	4.3216	6.2885	2	Alu	ENSG00000035403.19	""	TE
chr10	74021407	74021427	chr10-3755	6.32	+	0.7376	0.9119	1.6495	2	First intron	ENSG00000035403.19	""	Genic
chr10	74026245	74026265	chr10-3756	7.18	+	1.1064	0.8326	1.939	2	LTR/ERV	ENSG00000035403.19	""	TE
chr10	74028099	74028119	chr10-3757	7.75	+	1.3522	0.9516	2.3038	2	Alu	ENSG00000035403.19	""	TE
chr10	74037097	74037117	chr10-3758	8.9	+	0.8605	1.2687	2.1293	2	Alu	ENSG00000035403.19	""	TE
chr10	74043371	74043391	chr10-1530	8.04	+	0.8605	1.1498	2.0103	2	Alu	ENSG00000035403.19	""	TE
chr10	74046147	74046167	chr10-7072	4.88	+	0.9834	1.0308	2.0143	2	Other SINE	ENSG00000035403.19	""	TE
chr10	74050965	74050985	chr10-254	30.2	+	2.9503	4.1234	7.0737	2	Alu	ENSG00000035403.19	""	TE
chr10	74051185	74051205	chr10-1134	5.74	+	0.4917	1.2291	1.7208	2	Alu	ENSG00000035403.19	""	TE
chr10	74051425	74051445	chr10-2750	6.89	+	0.7376	1.1101	1.8477	2	Alu	ENSG00000035403.19	""	TE
chr10	74052402	74052422	chr10-2751	20.7	+	1.844	2.4582	4.3021	2	Alu	ENSG00000035403.19	""	TE
chr10	74052562	74052582	chr10-3762	6.61	+	0.7376	1.1498	1.8874	2	Alu	ENSG00000035403.19	""	TE
chr10	74052795	74052815	chr10-2752	5.74	+	0.9834	1.5859	2.5694	2	LINE	ENSG00000035403.19	""	TE
chr10	74053637	74053657	chr10-3763	6.32	+	0.9834	0.8326	1.8161	2	Alu	ENSG00000035403.19	""	TE
chr10	74053799	74053819	chr10-2057	6.89	+	0.7376	1.1498	1.8874	2	Alu	ENSG00000035403.19	""	TE
chr10	74055371	74055391	chr10-2753	8.04	+	0.8605	1.1498	2.0103	2	Alu	ENSG00000035403.19	""	TE
chr10	74058557	74058577	chr10-9842	7.18	+	0.8605	0.8723	1.7328	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74058610	74058630	chr10-3764	7.47	+	0.6147	1.1894	1.8041	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74061931	74061951	chr10-5153	10.1	+	0.9834	1.2687	2.2522	2	Alu	ENSG00000035403.19	""	TE
chr10	74062410	74062430	chr10-2058	4.88	+	0.4917	1.4273	1.9191	2	Alu	ENSG00000035403.19	""	TE
chr10	74064431	74064451	chr10-2754	7.75	+	0.7376	0.9516	1.6891	2	Alu	ENSG00000035403.19	""	TE
chr10	74065162	74065182	chr10-2059	14.6	+	0.8605	1.8635	2.724	2	Alu	ENSG00000035403.19	""	TE
chr10	74069065	74069085	chr10-1135	10.1	+	1.1064	1.348	2.4544	2	Alu	ENSG00000035403.19	""	TE
chr10	74070989	74071009	chr10-139	9.48	+	1.1064	1.7049	2.8112	2	CDS	ENSG00000035403.19	""	Genic
chr10	74074757	74074777	chr10-487	5.46	+	0.7376	0.9912	1.7288	2	CDS	ENSG00000035403.19	""	Genic
chr10	74074858	74074878	chr10-5157	4.31	+	0.9834	1.1101	2.0936	2	CDS	ENSG00000035403.19	""	Genic
chr10	74076425	74076445	chr10-2060	11.2	+	1.3522	2.022	3.3743	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74083419	74083439	chr10-2061	4.88	+	1.2293	0.9912	2.2205	2	CDS	ENSG00000035403.19	""	Genic
chr10	74084316	74084336	chr10-2062	14.6	+	1.2293	2.141	3.3703	2	Alu	ENSG00000035403.19	""	TE
chr10	74085891	74085911	chr10-3767	12.3	+	1.4752	1.4273	2.9025	2	Alu	ENSG00000035403.19	""	TE
chr10	74101413	74101433	chr10-488	21.5	+	2.4586	3.4097	5.8683	2	Alu	ENSG00000035403.19	""	TE
chr10	74101887	74101907	chr10-2756	15.2	+	1.1064	2.022	3.1284	2	Alu	ENSG00000035403.19	""	TE
chr10	74102291	74102311	chr10-5161	4.02	+	0.7376	1.2687	2.0063	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74109594	74109614	chr10-1139	13.2	+	1.5981	1.6256	3.2237	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74109918	74109938	chr10-2065	7.75	+	0.9834	1.348	2.3315	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74110080	74110100	chr10-1140	6.61	+	0.7376	1.2291	1.9667	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74113180	74113200	chr10-2066	8.33	+	1.1064	2.0617	3.1681	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74113600	74113620	chr10-9865	8.04	+	0.7376	1.1101	1.8477	2	Deep intronic	ENSG00000035403.19	""	Genic
chr10	74113921	74113941	chr10-5166	6.89	+	1.2293	1.1498	2.3791	2	Satellite/LC	ENSG00000035403.19	""	TE
chr10	74119151	74119171	chr10-255	8.9	+	1.5981	1.8635	3.4616	2	3'UTR	ENSG00000035403.19	""	Genic
chr10	74119265	74119285	chr10-643	10.3	+	2.0898	1.7445	3.8343	2	3'UTR	ENSG00000035403.19	""	Genic
chr10	74119604	74119624	chr10-350	16.4	+	1.721	3.3701	5.0911	2	3'UTR	ENSG00000035403.19	""	Genic
chr10	74119965	74119985	chr10-858	5.74	+	1.1064	1.5066	2.613	2	3'UTR	ENSG00000035403.19	""	Genic
chr10	74126232	74126252	chr10-5171	3.73	-	0.9834	0.8326	1.8161	2	CDS	ENSG00000185009.14	""	Genic
chr10	74151927	74151947	chr10-2761	6.61	+	1.1064	0.7137	1.82	2	First intron	ENSG00000156110.16	""	Genic
chr10	74161728	74161748	chr10-2762	6.32	+	0.8605	0.793	1.6535	2	Alu	ENSG00000156110.16	""	TE
chr10	74182941	74182961	chr10-2763	8.9	+	0.8605	1.0705	1.931	2	Alu	ENSG00000156110.16	""	TE
chr10	74184353	74184373	chr10-1143	8.04	+	0.8605	1.0705	1.931	2	Alu	ENSG00000156110.16	""	TE
chr10	74195734	74195754	chr10-1536	8.33	+	0.8605	0.9912	1.8517	2	Alu	ENSG00000156110.16	""	TE
chr10	74203383	74203403	chr10-3775	7.47	+	1.4752	0.7137	2.1888	2	Alu	ENSG00000156110.16	""	TE
chr10	74203977	74203997	chr10-9879	6.03	+	1.1064	0.5551	1.6615	2	Alu	ENSG00000156110.16	""	TE
chr10	74208761	74208781	chr10-1537	13.5	+	1.5981	1.3877	2.9858	2	Alu	ENSG00000156110.16	""	TE
chr10	74225111	74225131	chr10-2764	9.76	+	1.3522	0.9912	2.3434	2	Alu	ENSG00000156110.16	""	TE
chr10	74226133	74226153	chr10-859	12.9	+	0.7376	2.1013	2.8389	2	Alu	ENSG00000156110.16	""	TE
chr10	74231983	74232003	chr10-2765	8.9	+	1.1064	0.9516	2.0579	2	Deep intronic	ENSG00000156110.16	""	Genic
chr10	74235213	74235233	chr10-3778	7.18	+	0.9834	0.7533	1.7368	2	Deep intronic	ENSG00000156110.16	""	Genic
chr10	74235360	74235380	chr10-644	17.5	+	2.3357	1.9428	4.2784	2	Alu	ENSG00000156110.16	""	TE
chr10	74245616	74245636	chr10-3779	23	+	2.0898	2.7754	4.8652	2	Alu	ENSG00000156110.16	""	TE
chr10	74247256	74247276	chr10-3780	8.33	+	0.7376	1.1101	1.8477	2	Alu	ENSG00000156110.16	""	TE
chr10	74251923	74251943	chr10-5179	8.04	+	0.9834	0.8723	1.8557	2	Deep intronic	ENSG00000156110.16	""	Genic
chr10	74253790	74253810	chr10-2069	13.2	+	1.2293	1.467	2.6963	2	Alu	ENSG00000156110.16	""	TE
chr10	74284292	74284312	chr10-3781	9.19	+	0.7376	1.348	2.0856	2	Alu	ENSG00000156110.16	""	TE
chr10	74324034	74324054	chr10-3783	6.32	+	1.4752	0.7137	2.1888	2	Alu	ENSG00000156110.16	""	TE
chr10	74336952	74336972	chr10-7114	3.45	+	1.2293	0.5154	1.7447	2	Deep intronic	ENSG00000156110.16	""	Genic
chr10	74337787	74337807	chr10-3785	12.3	+	1.3522	1.6652	3.0175	2	Alu	ENSG00000156110.16	""	TE
chr10	74342482	74342502	chr10-9900	5.17	+	0.9834	0.7533	1.7368	2	Alu	ENSG00000156110.16	""	TE
chr10	74342661	74342681	chr10-7116	6.32	+	0.9834	0.9119	1.8954	2	Alu	ENSG00000156110.16	""	TE
chr10	74343633	74343653	chr10-3786	6.89	+	1.1064	1.0705	2.1769	2	Alu	ENSG00000156110.16	""	TE
chr10	74345326	74345346	chr10-2070	5.74	+	1.721	1.8635	3.5845	2	Alu	ENSG00000156110.16	""	TE
chr10	74403883	74403903	chr10-5183	6.32	+	0.7376	1.0308	1.7684	2	Alu	ENSG00000156110.16	""	TE
chr10	74407008	74407028	chr10-3788	9.48	+	1.2293	1.2687	2.498	2	Alu	ENSG00000156110.16	""	TE
chr10	74408003	74408023	chr10-5185	6.03	+	1.4752	0.9119	2.3871	2	Alu	ENSG00000156110.16	""	TE
chr10	74408181	74408201	chr10-2769	11.8	+	1.721	1.1498	2.8708	2	Alu	ENSG00000156110.16	""	TE
