chr	start	end	name	score	strand	NormedTC_ENCFF040BGS	NormedTC_ENCFF065BIC	NormedTC_HepG2_HNRNPC	BC_HepG2_HNRNPC	annotation	gene	external_gene_name	grouped_annotation
chr11	14759574	14759594	chr11-4313	6.88	+	0.7564	1.1051	1.8614	2	Alu	ENSG00000152270.11	""	TE
chr11	14769817	14769837	chr11-2218	12.5	+	1.4182	1.4734	2.8916	2	First intron	ENSG00000152270.11	""	Genic
chr11	14787125	14787145	chr11-4964	5.16	+	0.8509	1.1051	1.956	2	First intron	ENSG00000152270.11	""	Genic
chr11	14821931	14821951	chr11-6791	6.88	+	1.3236	0.6446	1.9682	2	Alu	ENSG00000152270.11	""	TE
chr11	14832974	14832994	chr11-3249	8.17	+	1.1345	1.2892	2.4238	2	Alu	ENSG00000152270.11	""	TE
chr11	14850855	14850875	chr11-2492	13.3	+	1.8909	1.4734	3.3643	2	Alu	ENSG00000152270.11	""	TE
chr11	16207570	16207590	chr11-2843	7.74	-	1.7018	0.1842	1.886	2	Alu	ENSG00000110693.20	""	TE
chr11	16567593	16567613	chr11-4967	64.9	+	7.6581	6.4462	14.1042	2	Alu	""	""	TE
chr11	16746839	16746859	chr11-2493	8.6	+	1.4182	0.7367	2.1549	2	Alu	ENSG00000110696.11	""	TE
chr11	16753120	16753140	chr11-4316	7.74	+	1.04	1.013	2.053	2	Alu	ENSG00000110696.11	""	TE
chr11	16753391	16753411	chr11-2845	9.46	+	1.6072	1.4734	3.0807	2	Alu	ENSG00000110696.11	""	TE
chr11	16754353	16754373	chr11-3250	7.74	+	0.6618	1.4734	2.1352	2	Alu	ENSG00000110696.11	""	TE
chr11	16778079	16778099	chr11-9889	6.45	-	1.2291	0.6446	1.8737	2	3'UTR	ENSG00000166689.19	""	Genic
chr11	16806897	16806917	chr11-2219	9.46	-	0.8509	1.5655	2.4164	2	Deep intronic	ENSG00000166689.19	""	Genic
chr11	16889577	16889597	chr11-2846	10.7	-	0.9454	1.9338	2.8793	2	Alu	ENSG00000166689.19	""	TE
chr11	16910735	16910755	chr11-4317	5.16	-	1.1345	1.013	2.1475	2	First intron	ENSG00000166689.19	""	Genic
chr11	16921420	16921440	chr11-2495	10.3	-	1.5127	0.8288	2.3415	2	Deep intronic	ENSG00000166689.19	""	Genic
chr11	16927151	16927171	chr11-1744	9.46	-	1.04	1.4734	2.5134	2	Alu	ENSG00000166689.19	""	TE
chr11	16931742	16931762	chr11-2847	11.6	-	1.3236	1.2892	2.6128	2	Alu	ENSG00000166689.19	""	TE
chr11	16935253	16935273	chr11-3708	9.46	-	1.04	1.2892	2.3292	2	Alu	ENSG00000166689.19	""	TE
chr11	16944326	16944346	chr11-5763	6.88	-	1.3236	0.6446	1.9682	2	Alu	ENSG00000166689.19	""	TE
chr11	16944486	16944506	chr11-1956	14.2	-	2.4581	1.1051	3.5632	2	Alu	ENSG00000166689.19	""	TE
chr11	16947562	16947582	chr11-2496	14.2	-	2.08	1.1971	3.2771	2	Alu	ENSG00000166689.19	""	TE
chr11	16947884	16947904	chr11-4973	7.74	-	1.2291	0.8288	2.0579	2	Alu	ENSG00000166689.19	""	TE
chr11	16955975	16955995	chr11-1745	9.03	-	0.9454	1.4734	2.4188	2	Alu	ENSG00000166689.19	""	TE
chr11	16956079	16956099	chr11-2497	11.2	-	1.2291	1.3813	2.6104	2	Deep intronic	ENSG00000166689.19	""	Genic
chr11	16965291	16965311	chr11-807	19.8	-	2.08	2.9468	5.0268	2	Alu	ENSG00000166689.19	""	TE
chr11	16970638	16970658	chr11-3251	7.74	-	1.3236	0.8288	2.1524	2	Alu	ENSG00000166689.19	""	TE
chr11	16974239	16974259	chr11-4318	9.89	-	2.08	0.9209	3.0008	2	Alu	ENSG00000166689.19	""	TE
chr11	16982106	16982126	chr11-1957	11.2	-	2.08	1.1971	3.2771	2	Deep intronic	ENSG00000166689.19	""	Genic
chr11	16983892	16983912	chr11-4320	8.6	-	1.1345	0.8288	1.9633	2	Alu	ENSG00000166689.19	""	TE
chr11	16984019	16984039	chr11-4321	6.88	-	2.1745	0.5525	2.727	2	Alu	ENSG00000166689.19	""	TE
chr11	16990138	16990158	chr11-4322	10.7	-	1.6072	1.013	2.6202	2	Deep intronic	ENSG00000166689.19	""	Genic
chr11	16992728	16992748	chr11-4974	9.03	-	1.2291	0.8288	2.0579	2	Alu	ENSG00000166689.19	""	TE
chr11	17002376	17002396	chr11-2220	9.89	-	1.2291	1.2892	2.5183	2	Alu	ENSG00000166689.19	""	TE
chr11	17006408	17006428	chr11-6801	3.44	-	0.9454	0.9209	1.8663	2	Alu	ENSG00000166689.19	""	TE
chr11	17009904	17009924	chr11-4323	8.6	-	0.9454	1.013	1.9584	2	Alu	ENSG00000166689.19	""	TE
chr11	17010367	17010387	chr11-1404	22.8	-	3.0254	2.0259	5.0513	2	Alu	ENSG00000166689.19	""	TE
chr11	17010575	17010595	chr11-1578	11.2	-	1.2291	1.5655	2.7946	2	Alu	ENSG00000166689.19	""	TE
chr11	17010766	17010786	chr11-1405	15	-	1.9854	1.5655	3.5509	2	Deep intronic	ENSG00000166689.19	""	Genic
chr11	17015639	17015659	chr11-5766	8.6	-	1.1345	0.7367	1.8712	2	Alu	""	""	TE
chr11	17074660	17074680	chr11-569	18.1	-	0.6618	3.5914	4.2532	2	Proximal intronic	ENSG00000110700.8	""	Genic
chr11	17075787	17075807	chr11-525	18.9	-	1.04	4.6044	5.6444	2	Deep intronic	ENSG00000110700.8	""	Genic
chr11	17076371	17076391	chr11-874	18.1	-	2.08	2.3022	4.3822	2	Alu	ENSG00000110700.8	""	TE
chr11	17076525	17076545	chr11-292	43	-	4.0654	5.3411	9.4065	2	Alu	ENSG00000110700.8	""	TE
chr11	17106382	17106402	chr11-1147	12	-	1.7018	1.3813	3.0831	2	Alu	ENSG00000011405.15	""	TE
chr11	17115513	17115533	chr11-1746	14.2	-	1.4182	1.9338	3.352	2	Alu	ENSG00000011405.15	""	TE
chr11	17127246	17127266	chr11-4325	6.02	-	1.4182	0.4604	1.8786	2	Deep intronic	ENSG00000011405.15	""	Genic
chr11	17143910	17143930	chr11-1047	12	-	1.7963	1.9338	3.7302	2	Alu	ENSG00000011405.15	""	TE
chr11	17144867	17144887	chr11-1048	17.2	-	2.6472	1.8418	4.489	2	Alu	ENSG00000011405.15	""	TE
chr11	17146694	17146714	chr11-747	20.2	-	2.9309	2.2101	5.141	2	Alu	ENSG00000011405.15	""	TE
chr11	17148178	17148198	chr11-653	29.2	-	5.1999	2.8547	8.0546	2	Alu	ENSG00000011405.15	""	TE
chr11	17149702	17149722	chr11-1958	8.6	-	1.5127	1.1971	2.7098	2	Alu	ENSG00000011405.15	""	TE
chr11	17176757	17176777	chr11-3711	7.31	-	1.5127	0.9209	2.4336	2	Alu	ENSG00000011405.15	""	TE
chr11	17180338	17180358	chr11-2221	9.03	-	0.6618	1.6576	2.3194	2	Alu	ENSG00000011405.15	""	TE
chr11	17182542	17182562	chr11-1579	10.7	-	0.9454	1.8418	2.7872	2	Alu	ENSG00000011405.15	""	TE
chr11	17188313	17188333	chr11-3712	5.59	-	1.5127	0.3684	1.8811	2	Alu	ENSG00000011405.15	""	TE
chr11	17198770	17198790	chr11-1747	8.17	-	0.9454	1.4734	2.4188	2	Alu	ENSG00000011405.15	""	TE
chr11	17199885	17199905	chr11-2222	12.9	-	1.4182	1.3813	2.7995	2	Alu	ENSG00000011405.15	""	TE
chr11	17201175	17201195	chr11-4326	7.31	-	1.2291	0.6446	1.8737	2	Alu	ENSG00000011405.15	""	TE
chr11	17202381	17202401	chr11-3253	7.31	-	0.9454	0.9209	1.8663	2	Alu	ENSG00000011405.15	""	TE
chr11	17204046	17204066	chr11-2223	15.9	-	3.0254	0.9209	3.9463	2	Alu	ENSG00000011405.15	""	TE
chr11	17204255	17204275	chr11-3713	7.74	-	0.8509	1.013	1.8639	2	First intron	ENSG00000011405.15	""	Genic
chr11	17206088	17206108	chr11-2498	8.6	-	0.7564	1.5655	2.3218	2	Alu	ENSG00000011405.15	""	TE
chr11	17207524	17207544	chr11-3254	8.17	-	0.4727	1.8418	2.3145	2	First intron	ENSG00000011405.15	""	Genic
chr11	17352204	17352224	chr11-1959	15.9	+	2.2691	1.3813	3.6504	2	Alu	ENSG00000188211.9	NCR3LG1	TE
chr11	17354654	17354674	chr11-2848	7.31	+	0.4727	1.4734	1.9461	2	First intron	ENSG00000188211.9	NCR3LG1	Genic
chr11	17354705	17354725	chr11-6818	4.73	+	0.9454	1.2892	2.2347	2	First intron	ENSG00000188211.9	NCR3LG1	Genic
chr11	17355818	17355838	chr11-1748	11.2	+	1.3236	1.3813	2.7049	2	Alu	ENSG00000188211.9	NCR3LG1	TE
chr11	17357897	17357917	chr11-3715	6.88	+	0.9454	1.1971	2.1426	2	Alu	ENSG00000188211.9	NCR3LG1	TE
chr11	17359541	17359561	chr11-2499	7.74	+	0.8509	1.1051	1.956	2	Alu	ENSG00000188211.9	NCR3LG1	TE
chr11	17363118	17363138	chr11-4988	5.59	+	0.7564	1.1051	1.8614	2	Alu	ENSG00000188211.9	NCR3LG1	TE
chr11	17364384	17364404	chr11-3256	7.74	+	0.8509	1.3813	2.2322	2	Alu	ENSG00000188211.9	NCR3LG1	TE
chr11	17379101	17379121	chr11-2224	8.17	+	1.7018	0.6446	2.3464	2	3'UTR-distal	""	""	Genic
chr11	17379149	17379169	chr11-297	25.8	+	2.7418	3.4993	6.2411	2	3'UTR-distal	""	""	Genic
chr11	17380512	17380532	chr11-808	18.9	+	3.4981	2.4864	5.9845	2	3'UTR-distal	""	""	Genic
chr11	17789956	17789976	chr11-3257	6.45	-	0.8509	1.1051	1.956	2	Alu	ENSG00000129158.12	""	TE
chr11	17844836	17844856	chr11-4330	6.02	-	0.9454	1.2892	2.2347	2	Deep intronic	ENSG00000129158.12	""	Genic
chr11	17848009	17848029	chr11-3717	8.17	-	1.7963	0.0921	1.8884	2	Deep intronic	ENSG00000129158.12	""	Genic
chr11	17853799	17853819	chr11-1148	12.9	-	1.8909	1.4734	3.3643	2	Alu	ENSG00000129158.12	""	TE
chr11	17853993	17854013	chr11-6822	14.2	-	1.7018	1.3813	3.0831	2	Alu	ENSG00000129158.12	""	TE
chr11	17871432	17871452	chr11-4990	12.9	-	1.3236	1.5655	2.8891	2	Alu	ENSG00000129158.12	""	TE
chr11	17876236	17876256	chr11-1406	9.46	-	0.8509	1.4734	2.3243	2	Deep intronic	ENSG00000129158.12	""	Genic
chr11	17899759	17899779	chr11-1960	9.46	-	1.4182	1.6576	3.0757	2	Alu	ENSG00000129158.12	""	TE
chr11	17899926	17899946	chr11-1049	15	-	2.2691	1.1051	3.3741	2	Alu	ENSG00000129158.12	""	TE
chr11	17935287	17935307	chr11-1407	11.2	-	1.2291	1.9338	3.1629	2	Alu	ENSG00000129158.12	""	TE
chr11	17935437	17935457	chr11-526	20.2	-	2.8363	2.3943	5.2306	2	Alu	ENSG00000129158.12	""	TE
chr11	17945959	17945979	chr11-5789	7.74	-	1.4182	0.6446	2.0628	2	Alu	ENSG00000129158.12	""	TE
chr11	17960295	17960315	chr11-1580	10.7	-	0.5673	1.8418	2.409	2	Deep intronic	ENSG00000129158.12	""	Genic
chr11	17971166	17971186	chr11-6829	7.74	-	1.5127	0.6446	2.1573	2	Alu	ENSG00000129158.12	""	TE
chr11	17976651	17976671	chr11-2850	7.74	-	0.9454	1.2892	2.2347	2	LINE	ENSG00000129158.12	""	TE
chr11	17980277	17980297	chr11-5794	5.59	-	0.5673	1.5655	2.1328	2	Other SINE	ENSG00000129158.12	""	TE
chr11	17998818	17998838	chr11-2851	8.6	-	0.6618	1.2892	1.951	2	LTR/ERV	ENSG00000129158.12	""	TE
chr11	18009064	18009084	chr11-1749	11.6	-	2.1745	1.4734	3.6479	2	3'UTR-distal	ENSG00000129158.12	""	Genic
chr11	18009387	18009407	chr11-1050	18.1	-	3.4036	3.7756	7.1792	2	3'UTR-distal	ENSG00000129158.12	""	Genic
chr11	18298056	18298076	chr11-4333	7.31	-	1.04	1.013	2.053	2	Alu	ENSG00000110756.19	""	TE
chr11	18338469	18338489	chr11-4993	6.88	+	1.2291	0.6446	1.8737	2	Alu	ENSG00000110768.13	""	TE
chr11	18342949	18342969	chr11-3720	6.88	+	1.1345	1.1971	2.3317	2	Alu	ENSG00000110768.13	""	TE
chr11	18345526	18345546	chr11-2225	8.17	+	0.9454	1.9338	2.8793	2	Alu	ENSG00000110768.13	""	TE
chr11	18351311	18351331	chr11-436	27.1	+	2.8363	3.3152	6.1515	2	Alu	ENSG00000110768.13	""	TE
chr11	18398074	18398094	chr11-1266	11.2	+	1.04	1.9338	2.9738	2	First intron	ENSG00000134333.16	""	Genic
chr11	18398420	18398440	chr11-702	22.4	+	1.8909	3.8677	5.7586	2	Alu	ENSG00000134333.16	""	TE
chr11	18398639	18398659	chr11-952	14.2	+	1.6072	2.2101	3.8174	2	Alu	ENSG00000134333.16	""	TE
chr11	18399786	18399806	chr11-357	24.1	+	2.4581	3.5914	6.0496	2	Alu	ENSG00000134333.16	""	TE
chr11	18399957	18399977	chr11-1581	14.6	+	1.9854	1.9338	3.9193	2	Deep intronic	ENSG00000134333.16	""	Genic
chr11	18401503	18401523	chr11-875	20.2	+	2.7418	3.0389	5.7807	2	Alu	ENSG00000134333.16	""	TE
chr11	18401986	18402006	chr11-1051	13.3	+	1.5127	1.7497	3.2624	2	Alu	ENSG00000134333.16	""	TE
chr11	18402330	18402350	chr11-1149	14.2	+	2.4581	2.3022	4.7603	2	Alu	ENSG00000134333.16	""	TE
chr11	18405157	18405177	chr11-4996	7.74	+	2.3636	1.013	3.3766	2	LINE	ENSG00000134333.16	""	TE
chr11	18497073	18497093	chr11-809	15.9	-	2.08	1.5655	3.6455	2	Alu	ENSG00000074319.14	""	TE
chr11	18504172	18504192	chr11-3260	9.46	-	0.6618	1.5655	2.2273	2	Alu	ENSG00000074319.14	""	TE
chr11	18510394	18510414	chr11-3261	8.17	-	1.04	1.1971	2.2371	2	Alu	ENSG00000074319.14	""	TE
chr11	18561803	18561823	chr11-3263	8.17	-	0.7564	1.2892	2.0456	2	Alu	ENSG00000151116.18	""	TE
chr11	18601473	18601493	chr11-4336	6.45	+	1.3236	0.5525	1.8761	2	CDS	ENSG00000247595.5	MISFA	Genic
chr11	18630137	18630157	chr11-6841	6.45	-	0.2836	1.5655	1.8491	2	Alu	ENSG00000179119.15	SPTY2D1	TE
chr11	19119129	19119149	chr11-4997	9.89	+	0.9454	1.2892	2.2347	2	Alu	ENSG00000177054.15	""	TE
chr11	19130871	19130891	chr11-1408	10.7	+	1.04	1.9338	2.9738	2	Alu	ENSG00000177054.15	""	TE
chr11	19131660	19131680	chr11-4337	7.31	+	1.3236	0.6446	1.9682	2	Alu	ENSG00000177054.15	""	TE
chr11	20062720	20062740	chr11-2852	9.03	+	0.8509	1.3813	2.2322	2	Alu	ENSG00000166833.23	NAV2	TE
chr11	20067503	20067523	chr11-2501	10.7	+	0.7564	1.6576	2.4139	2	Alu	ENSG00000166833.23	NAV2	TE
chr11	20075243	20075263	chr11-2227	9.46	+	0.7564	1.5655	2.3218	2	Alu	ENSG00000166833.23	NAV2	TE
chr11	20403968	20403988	chr11-8206	3.87	+	0.6618	1.1971	1.859	2	Deep intronic	ENSG00000185238.14	""	Genic
chr11	20404262	20404282	chr11-4999	6.45	+	0.8509	1.013	1.8639	2	Alu	ENSG00000185238.14	""	TE
chr11	20406744	20406764	chr11-4338	7.74	+	1.3236	1.5655	2.8891	2	LINE	ENSG00000185238.14	""	TE
chr11	20492962	20492982	chr11-6844	8.17	-	1.1345	0.7367	1.8712	2	Alu	""	""	TE
chr11	22756608	22756628	chr11-5811	6.45	+	1.3236	0.5525	1.8761	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22758343	22758363	chr11-2853	9.46	+	1.2291	1.1051	2.3341	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22759514	22759534	chr11-2228	9.03	+	2.1745	0.9209	3.0954	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22765360	22765380	chr11-2502	9.89	+	1.6072	1.1051	2.7123	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22766947	22766967	chr11-3264	9.46	+	1.9854	0.6446	2.63	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22767399	22767419	chr11-5002	4.73	+	1.2291	0.6446	1.8737	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22767497	22767517	chr11-1267	11.6	+	1.8909	0.9209	2.8118	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22772459	22772479	chr11-4339	9.46	+	1.1345	1.1051	2.2396	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22772638	22772658	chr11-1961	10.3	+	0.7564	2.118	2.8744	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22773417	22773437	chr11-308	36.1	+	3.8763	5.4332	9.3095	2	Alu	ENSG00000148935.13	""	TE
chr11	22773586	22773606	chr11-1583	10.7	+	1.5127	1.9338	3.4466	2	Alu	ENSG00000148935.13	""	TE
chr11	22773647	22773667	chr11-2503	8.6	+	1.04	1.5655	2.6055	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22773885	22773905	chr11-1268	11.6	+	1.6072	1.2892	2.8965	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22774556	22774576	chr11-2854	7.31	+	0.9454	1.4734	2.4188	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22779221	22779241	chr11-1584	10.7	+	2.3636	2.2101	4.5737	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22779401	22779421	chr11-3265	7.31	+	0.6618	1.1971	1.859	2	Alu	ENSG00000148935.13	""	TE
chr11	22782791	22782811	chr11-2229	8.6	+	1.6072	0.5525	2.1598	2	LINE	ENSG00000148935.13	""	TE
chr11	22783126	22783146	chr11-5007	6.02	+	1.1345	0.8288	1.9633	2	LINE	ENSG00000148935.13	""	TE
chr11	22783669	22783689	chr11-953	13.8	+	1.3236	2.3022	3.6258	2	LTR/ERV	ENSG00000148935.13	""	TE
chr11	22788388	22788408	chr11-3724	5.59	+	1.3236	0.9209	2.2445	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22789480	22789500	chr11-5009	23.6	+	2.9309	2.2101	5.141	2	Alu	ENSG00000148935.13	""	TE
chr11	22789654	22789674	chr11-2230	10.3	+	1.5127	1.1971	2.7098	2	Alu	ENSG00000148935.13	""	TE
chr11	22790618	22790638	chr11-619	21.1	+	3.0254	2.3022	5.3276	2	Alu	ENSG00000148935.13	""	TE
chr11	22794178	22794198	chr11-1750	10.3	+	1.8909	1.3813	3.2722	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22796076	22796096	chr11-2231	8.6	+	0.8509	1.2892	2.1401	2	LINE	ENSG00000148935.13	""	TE
chr11	22797419	22797439	chr11-3725	6.02	+	0.8509	1.4734	2.3243	2	Deep intronic	ENSG00000148935.13	""	Genic
chr11	22809672	22809692	chr11-1585	13.8	+	2.1745	0.8288	3.0033	2	Alu	ENSG00000148935.13	""	TE
chr11	22812457	22812477	chr11-4344	8.17	+	1.5127	0.6446	2.1573	2	3'UTR	ENSG00000148935.13	""	Genic
chr11	22841242	22841262	chr11-1269	12.5	+	1.7018	1.6576	3.3594	2	Alu	ENSG00000246225.8	""	TE
chr11	26577366	26577386	chr11-4345	8.17	-	1.4182	0.8288	2.247	2	Alu	""	""	TE
chr11	26577535	26577555	chr11-5823	7.31	-	0.8509	1.2892	2.1401	2	Alu	""	""	TE
chr11	26584580	26584600	chr11-3266	9.03	-	2.08	0.2763	2.3562	2	LINE	""	""	TE
chr11	26589018	26589038	chr11-2856	8.17	-	2.6472	0.8288	3.476	2	Deep intronic	""	""	Genic
chr11	27370395	27370415	chr11-12464	11.2	-	2.5527	0.0921	2.6448	2	Deep intronic	ENSG00000205213.15	""	Genic
chr11	27375094	27375114	chr11-4347	9.89	-	1.4182	0.9209	2.339	2	Alu	ENSG00000205213.15	""	TE
chr11	27375268	27375288	chr11-2232	8.17	-	1.3236	1.013	2.3366	2	Alu	ENSG00000205213.15	""	TE
chr11	27381665	27381685	chr11-2233	10.7	-	0.8509	1.8418	2.6927	2	Alu	ENSG00000205213.15	""	TE
chr11	27388061	27388081	chr11-5012	8.6	-	1.9854	0.3684	2.3538	2	First intron	ENSG00000205213.15	""	Genic
chr11	27403268	27403288	chr11-1270	12.9	-	1.7963	1.5655	3.3618	2	Alu	ENSG00000205213.15	""	TE
chr11	27429453	27429473	chr11-954	13.3	-	1.9854	1.4734	3.4588	2	Alu	ENSG00000205213.15	""	TE
chr11	27438007	27438027	chr11-303	29.7	-	3.12	3.4073	6.5272	2	Alu	ENSG00000205213.15	""	TE
chr11	27443722	27443742	chr11-5013	6.02	-	1.1345	0.8288	1.9633	2	First intron	ENSG00000205213.15	""	Genic
chr11	27445848	27445868	chr11-1409	13.3	-	1.9854	1.8418	3.8272	2	Alu	ENSG00000205213.15	""	TE
chr11	27447241	27447261	chr11-4348	4.73	-	1.7963	1.013	2.8093	2	LTR/ERV	ENSG00000205213.15	""	TE
chr11	27447500	27447520	chr11-5015	10.7	-	1.5127	1.1051	2.6178	2	LTR/ERV	ENSG00000205213.15	""	TE
chr11	27449390	27449410	chr11-494	17.6	-	2.2691	2.2101	4.4792	2	Alu	ENSG00000205213.15	""	TE
chr11	27449552	27449572	chr11-876	16.3	-	2.7418	2.5785	5.3202	2	Alu	ENSG00000205213.15	""	TE
chr11	27450761	27450781	chr11-2857	9.03	-	1.7963	1.3813	3.1777	2	Alu	ENSG00000205213.15	""	TE
chr11	27454730	27454750	chr11-1962	11.2	-	2.7418	2.0259	4.7677	2	Alu	ENSG00000205213.15	""	TE
chr11	27456637	27456657	chr11-703	13.3	-	2.7418	2.5785	5.3202	2	First intron	ENSG00000205213.15	""	Genic
chr11	27457938	27457958	chr11-955	14.2	-	1.5127	1.9338	3.4466	2	Alu	ENSG00000205213.15	""	TE
chr11	27458100	27458120	chr11-495	22.4	-	2.4581	3.7756	6.2338	2	Alu	ENSG00000205213.15	""	TE
chr11	27462317	27462337	chr11-3267	7.31	-	0.9454	2.118	3.0635	2	First intron	ENSG00000205213.15	""	Genic
chr11	27462838	27462858	chr11-3726	12.5	-	1.8909	1.5655	3.4564	2	First intron	ENSG00000205213.15	""	Genic
chr11	27463042	27463062	chr11-1150	16.8	-	2.8363	1.2892	4.1256	2	Alu	ENSG00000205213.15	""	TE
chr11	27463224	27463244	chr11-1410	19.3	-	2.1745	2.8547	5.0292	2	Alu	ENSG00000205213.15	""	TE
chr11	27463330	27463350	chr11-2505	7.74	-	1.1345	1.5655	2.7	2	First intron	ENSG00000205213.15	""	Genic
chr11	27467540	27467560	chr11-1411	14.2	-	1.9854	1.3813	3.3667	2	Alu	ENSG00000205213.15	""	TE
chr11	27495097	27495117	chr11-3268	9.46	-	1.4182	1.1971	2.6153	2	3'UTR	ENSG00000148943.12	LIN7C	Genic
chr11	27495443	27495463	chr11-2234	9.89	-	3.8763	1.1971	5.0734	2	3'UTR	ENSG00000148943.12	LIN7C	Genic
chr11	27495939	27495959	chr11-2858	9.03	-	1.8909	1.7497	3.6406	2	3'UTR	ENSG00000148943.12	LIN7C	Genic
chr11	27496126	27496146	chr11-1963	10.3	-	1.3236	1.1051	2.4287	2	3'UTR	ENSG00000148943.12	LIN7C	Genic
chr11	27498216	27498236	chr11-3269	8.6	-	1.7018	1.013	2.7148	2	3'UTR	ENSG00000148943.12	LIN7C	Genic
chr11	28114474	28114494	chr11-2506	13.3	+	1.6072	1.6576	3.2648	2	Alu	ENSG00000169519.22	""	TE
chr11	28118029	28118049	chr11-570	24.9	+	3.4036	3.4993	6.9029	2	Alu	ENSG00000169519.22	""	TE
chr11	28129435	28129455	chr11-1412	12.9	+	1.8909	1.5655	3.4564	2	Alu	ENSG00000169519.22	""	TE
chr11	28277657	28277677	chr11-5018	12.5	-	1.5127	1.6576	3.1703	2	Alu	""	""	TE
chr11	31379783	31379803	chr11-4351	7.31	+	1.3236	0.5525	1.8761	2	Alu	ENSG00000170946.16	""	TE
chr11	31392733	31392753	chr11-2859	8.17	+	0.9454	1.1051	2.0505	2	Alu	ENSG00000170946.16	""	TE
chr11	31448287	31448307	chr11-1751	9.89	-	1.2291	1.3813	2.6104	2	Alu	ENSG00000148950.12	""	TE
chr11	31456850	31456870	chr11-5019	6.88	-	0.6618	1.1971	1.859	2	Alu	ENSG00000148950.12	""	TE
chr11	31460131	31460151	chr11-2507	12.5	-	1.5127	1.2892	2.8019	2	Alu	ENSG00000148950.12	""	TE
chr11	31462289	31462309	chr11-2508	10.3	-	1.8909	0.9209	2.8118	2	Alu	ENSG00000148950.12	""	TE
chr11	31500448	31500468	chr11-3730	6.02	-	1.2291	1.1051	2.3341	2	First intron	ENSG00000148950.12	""	Genic
chr11	31501762	31501782	chr11-3731	7.31	-	1.5127	1.3813	2.894	2	Alu	ENSG00000148950.12	""	TE
chr11	31507253	31507273	chr11-527	18.9	-	2.08	2.7626	4.8426	2	Alu	ENSG00000148950.12	""	TE
chr11	31508125	31508145	chr11-2235	6.88	-	1.04	1.1971	2.2371	2	LINE	ENSG00000148950.12	""	TE
chr11	31668507	31668527	chr11-810	18.5	+	1.8909	2.118	4.0089	2	Alu	ENSG00000109911.20	""	TE
chr11	32095273	32095293	chr11-3273	6.45	+	0.7564	1.1051	1.8614	2	Alu	ENSG00000049449.11	""	TE
chr11	32403606	32403626	chr11-1964	9.03	+	2.1745	0.0921	2.2666	2	Alu	""	""	TE
chr11	32585525	32585545	chr11-1052	14.6	+	1.5127	2.3943	3.907	2	First intron	ENSG00000149100.14	""	Genic
chr11	32895599	32895619	chr11-3734	5.59	+	0.5673	1.3813	1.9486	2	Other SINE	ENSG00000060749.17	QSER1	TE
chr11	32896528	32896548	chr11-3274	7.31	+	1.4182	0.7367	2.1549	2	Alu	ENSG00000060749.17	QSER1	TE
chr11	32898609	32898629	chr11-1752	9.03	+	0.7564	1.4734	2.2298	2	Alu	ENSG00000060749.17	QSER1	TE
chr11	32904048	32904068	chr11-5838	5.16	+	0.4727	1.4734	1.9461	2	First intron	ENSG00000060749.17	QSER1	Genic
chr11	32904206	32904226	chr11-2236	14.2	+	1.4182	1.6576	3.0757	2	Alu	ENSG00000060749.17	QSER1	TE
chr11	32904630	32904650	chr11-5024	5.59	+	1.2291	0.7367	1.9658	2	First intron	ENSG00000060749.17	QSER1	Genic
chr11	32913219	32913239	chr11-4355	8.17	+	1.04	1.013	2.053	2	Alu	ENSG00000060749.17	QSER1	TE
chr11	32916797	32916817	chr11-6870	9.03	+	0.6618	1.2892	1.951	2	Alu	ENSG00000060749.17	QSER1	TE
chr11	32919181	32919201	chr11-3275	6.02	+	1.04	1.7497	2.7897	2	Alu	ENSG00000060749.17	QSER1	TE
chr11	32919483	32919503	chr11-3276	10.3	+	1.7963	1.6576	3.4539	2	LINE	ENSG00000060749.17	QSER1	TE
chr11	32937311	32937331	chr11-6872	7.31	+	1.04	1.1051	2.145	2	Alu	ENSG00000060749.17	QSER1	TE
chr11	32939975	32939995	chr11-2509	8.17	+	1.2291	0.7367	1.9658	2	LINE	ENSG00000060749.17	QSER1	TE
chr11	32976844	32976864	chr11-4358	7.31	+	0.7564	1.1051	1.8614	2	3'UTR	ENSG00000060749.17	QSER1	Genic
chr11	33026618	33026638	chr11-5026	7.31	+	0.9454	1.1051	2.0505	2	Alu	ENSG00000121690.12	""	TE
chr11	33070248	33070268	chr11-3277	8.6	-	2.08	0.0921	2.1721	2	Alu	""	""	TE
chr11	33106214	33106234	chr11-2510	9.03	-	1.2291	1.013	2.242	2	Alu	ENSG00000176102.14	""	TE
