chr	start	end	name	score	strand	NormedTC_ENCFF452ZWM	NormedTC_ENCFF786UGT	NormedTC_K562_ELAVL1	BC_K562_ELAVL1	annotation	gene	external_gene_name	grouped_annotation
chr14	26962563	26962583	chr14-815	9.5	+	2.294	0.944	3.238	2	Alu	ENSG00000257612.3	MIR4307HG	TE
chr14	26964169	26964189	chr14-490	14.5	+	2.4704	1.5104	3.9808	2	Satellite/LC	ENSG00000257612.3	MIR4307HG	TE
chr14	26978654	26978674	chr14-1566	6.71	+	2.1175	1.2272	3.3447	2	LINE	ENSG00000257612.3	MIR4307HG	TE
chr14	27199853	27199873	chr14-2341	21.2	+	5.4702	0.6608	6.131	2	Alu	ENSG00000257842.7	NOVA1-DT	TE
chr14	27452041	27452061	chr14-956	104.5	+	20.4691	6.7969	27.2661	2	Deep intronic	""	""	Genic
chr14	27512551	27512571	chr14-323	15.6	-	3.3527	1.2272	4.5799	2	Alu	ENSG00000292998.2	MIR3171HG	TE
chr14	27537980	27538000	chr14-629	12.9	-	1.941	1.6048	3.5459	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27563527	27563547	chr14-816	11.7	-	2.4704	1.6048	4.0752	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27564705	27564725	chr14-630	14	-	3.7056	4.1537	7.8593	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27570146	27570166	chr14-1568	6.15	-	1.0587	1.9824	3.0412	2	Deep intronic	ENSG00000292998.2	MIR3171HG	Genic
chr14	27574374	27574394	chr14-353	19.6	-	2.6469	3.1153	5.7621	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27575252	27575272	chr14-73	38.6	-	5.2937	5.2865	10.5803	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27575805	27575825	chr14-96	30.7	-	5.2937	4.0593	9.353	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27577717	27577737	chr14-1312	8.94	-	2.294	1.416	3.71	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27580737	27580757	chr14-817	14.5	-	2.6469	2.4545	5.1013	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27594510	27594530	chr14-1570	6.15	-	2.294	1.5104	3.8044	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27597019	27597039	chr14-324	28.5	-	8.2935	2.9265	11.22	2	Alu	ENSG00000292998.2	MIR3171HG	TE
chr14	27597467	27597487	chr14-2352	7.26	-	2.294	1.5104	3.8044	2	Deep intronic	ENSG00000292998.2	MIR3171HG	Genic
chr14	27610930	27610950	chr14-1898	7.26	-	1.4117	1.888	3.2997	2	LTR/ERV	ENSG00000292998.2	MIR3171HG	TE
chr14	27616392	27616412	chr14-718	9.5	-	3.7056	1.0384	4.744	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27620954	27620974	chr14-1130	8.94	-	2.1175	1.3216	3.4391	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27631792	27631812	chr14-631	11.2	-	2.294	0.8496	3.1436	2	Deep intronic	ENSG00000292998.2	MIR3171HG	Genic
chr14	27639230	27639250	chr14-491	12.3	-	4.0585	1.0384	5.097	2	Satellite/LC	ENSG00000292998.2	MIR3171HG	TE
chr14	27648279	27648299	chr14-632	11.2	-	2.6469	1.3216	3.9685	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27651179	27651199	chr14-2358	5.59	-	2.1175	1.2272	3.3447	2	LINE	ENSG00000292998.2	MIR3171HG	TE
chr14	27655231	27655251	chr14-1574	9.5	-	2.294	0.7552	3.0492	2	Deep intronic	ENSG00000292998.2	MIR3171HG	Genic
chr14	27776117	27776137	chr14-1314	7.26	-	2.294	0.7552	3.0492	2	First intron	ENSG00000292998.2	MIR3171HG	Genic
chr14	27833725	27833745	chr14-1315	8.38	-	2.8233	0.7552	3.5785	2	First intron	ENSG00000292998.2	MIR3171HG	Genic
chr14	28767073	28767093	chr14-234	17.9	+	2.4704	1.888	4.3585	2	5'UTR	ENSG00000176165.13	FOXG1	Genic
chr14	28862553	28862573	chr14-819	8.94	+	2.6469	0.944	3.5909	2	LINE	ENSG00000258038.7	LINC02327	TE
chr14	28862896	28862916	chr14-1132	7.26	+	2.294	1.9824	4.2764	2	LINE	ENSG00000258038.7	LINC02327	TE
chr14	28865718	28865738	chr14-1133	9.5	+	1.0587	1.9824	3.0412	2	LINE	ENSG00000258038.7	LINC02327	TE
chr14	28904346	28904366	chr14-820	9.5	+	2.1175	1.3216	3.4391	2	LINE	ENSG00000258038.7	LINC02327	TE
chr14	29073048	29073068	chr14-1134	7.26	+	1.2352	1.888	3.1232	2	LTR/ERV	ENSG00000258038.7	LINC02327	TE
chr14	29159876	29159896	chr14-1909	272.7	+	45.7026	21.7125	67.4151	2	First intron	ENSG00000258038.7	LINC02327	Genic
chr14	30411805	30411825	chr14-384	19	-	3.7056	2.0768	5.7825	2	Alu	""	""	TE
chr14	30412008	30412028	chr14-446	17.3	-	2.6469	2.4545	5.1013	2	Alu	""	""	TE
chr14	30560096	30560116	chr14-633	10.1	+	1.7646	1.3216	3.0862	2	5'UTR	ENSG00000092140.17	""	Genic
chr14	30563177	30563197	chr14-1582	16.2	+	1.7646	2.0768	3.8414	2	First intron	ENSG00000092140.17	""	Genic
chr14	30565475	30565495	chr14-354	13.4	+	2.4704	1.3216	3.792	2	LINE	ENSG00000092140.17	""	TE
chr14	30567476	30567496	chr14-821	8.38	+	2.294	1.5104	3.8044	2	LINE	ENSG00000092140.17	""	TE
chr14	30567712	30567732	chr14-822	10.1	+	2.9998	1.3216	4.3214	2	LINE	ENSG00000092140.17	""	TE
chr14	30567837	30567857	chr14-720	8.94	+	2.4704	2.2656	4.7361	2	LINE	ENSG00000092140.17	""	TE
chr14	30568292	30568312	chr14-1321	8.38	+	2.1175	1.2272	3.3447	2	LINE	ENSG00000092140.17	""	TE
chr14	30570537	30570557	chr14-413	15.6	+	1.941	2.3601	4.3011	2	LINE	ENSG00000092140.17	""	TE
chr14	30570650	30570670	chr14-721	9.5	+	2.1175	1.0384	3.1559	2	LINE	ENSG00000092140.17	""	TE
chr14	30571203	30571223	chr14-722	8.38	+	2.4704	1.1328	3.6032	2	LINE	ENSG00000092140.17	""	TE
chr14	30571413	30571433	chr14-966	14.5	+	3.5292	1.6048	5.134	2	LINE	ENSG00000092140.17	""	TE
chr14	30584512	30584532	chr14-1325	7.26	+	2.1175	0.944	3.0615	2	LINE	ENSG00000092140.17	""	TE
chr14	30585724	30585744	chr14-823	12.9	+	2.6469	1.3216	3.9685	2	LINE	ENSG00000092140.17	""	TE
chr14	30593903	30593923	chr14-1912	9.5	+	2.1175	1.1328	3.2503	2	Proximal intronic	ENSG00000092140.17	""	Genic
chr14	30593962	30593982	chr14-3744	6.71	+	1.5881	1.416	3.0042	2	Deep intronic	ENSG00000092140.17	""	Genic
chr14	30611672	30611692	chr14-1584	11.7	+	1.7646	1.416	3.1806	2	Alu	ENSG00000092140.17	""	TE
chr14	30614229	30614249	chr14-1585	7.26	+	2.1175	1.1328	3.2503	2	Deep intronic	ENSG00000092140.17	""	Genic
chr14	30618140	30618160	chr14-1586	5.59	+	2.6469	1.0384	3.6853	2	3'UTR	ENSG00000092140.17	""	Genic
chr14	30618835	30618855	chr14-1914	7.26	+	1.5881	1.888	3.4762	2	3'UTR	ENSG00000092140.17	""	Genic
chr14	30625110	30625130	chr14-1587	8.94	+	2.4704	0.944	3.4144	2	3'UTR-distal	ENSG00000092108.23	""	Genic
chr14	30643875	30643895	chr14-355	16.8	+	4.0585	0.944	5.0026	2	LINE	ENSG00000092108.23	""	TE
chr14	30662510	30662530	chr14-1326	8.38	+	2.6469	0.8496	3.4965	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30662699	30662719	chr14-249	20.1	+	2.8233	2.2656	5.089	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30663159	30663179	chr14-969	6.15	+	1.5881	1.888	3.4762	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30669520	30669540	chr14-1916	6.15	+	1.941	1.1328	3.0739	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30677174	30677194	chr14-414	13.4	+	2.1175	1.888	4.0055	2	Alu	ENSG00000092108.23	""	TE
chr14	30679245	30679265	chr14-209	24.6	+	3.7056	2.8321	6.5377	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30679707	30679727	chr14-970	8.38	+	1.941	1.1328	3.0739	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30680006	30680026	chr14-971	9.5	+	3.7056	1.2272	4.9328	2	Satellite/LC	ENSG00000092108.23	""	TE
chr14	30680889	30680909	chr14-385	15.1	+	4.235	2.0768	6.3118	2	LINE	ENSG00000092108.23	""	TE
chr14	30690943	30690963	chr14-447	16.8	+	4.9408	2.7377	7.6785	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30691975	30691995	chr14-1327	13.4	+	2.4704	1.6992	4.1696	2	Alu	ENSG00000092108.23	""	TE
chr14	30706413	30706433	chr14-415	12.9	+	2.8233	2.4545	5.2778	2	LINE	ENSG00000092108.23	""	TE
chr14	30709064	30709084	chr14-1591	8.94	+	1.0587	2.0768	3.1356	2	Deep intronic	ENSG00000092108.23	""	Genic
chr14	30709308	30709328	chr14-192	25.7	+	5.8231	2.2656	8.0888	2	CDS	ENSG00000092108.23	""	Genic
chr14	30709412	30709432	chr14-972	16.2	+	3.1762	1.1328	4.3091	2	CDS	ENSG00000092108.23	""	Genic
chr14	30822111	30822131	chr14-492	1349.5	-	267.3339	84.9618	352.2957	2	LTR/ERV	ENSG00000258558.1	""	TE
chr14	30882151	30882171	chr14-1328	25.7	+	2.9998	3.0209	6.0206	2	Alu	ENSG00000100473.19	""	TE
chr14	30894111	30894131	chr14-273	26.8	-	5.2937	4.3425	9.6362	2	3'UTR	ENSG00000196792.13	""	Genic
chr14	30894408	30894428	chr14-250	19	-	4.4115	3.3041	7.7155	2	3'UTR	ENSG00000196792.13	""	Genic
chr14	30895036	30895056	chr14-16	153.1	-	29.6449	10.9506	40.5956	2	3'UTR	ENSG00000196792.13	""	Genic
chr14	30902144	30902164	chr14-1921	8.94	-	2.4704	0.6608	3.1312	2	Alu	ENSG00000196792.13	""	TE
chr14	30903024	30903044	chr14-294	19.6	-	3.5292	2.4545	5.9836	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30903136	30903156	chr14-824	9.5	-	1.5881	1.6048	3.193	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30903701	30903721	chr14-1330	9.5	-	1.2352	1.9824	3.2176	2	LINE	ENSG00000196792.13	""	TE
chr14	30904472	30904492	chr14-725	9.5	-	1.941	1.9824	3.9235	2	LINE	ENSG00000196792.13	""	TE
chr14	30904935	30904955	chr14-193	20.7	-	2.9998	2.3601	5.3598	2	LINE	ENSG00000196792.13	""	TE
chr14	30907044	30907064	chr14-2383	5.59	-	1.2352	1.7936	3.0288	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30917519	30917539	chr14-973	9.5	-	2.294	0.944	3.238	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30918745	30918765	chr14-448	20.1	-	2.9998	2.9265	5.9262	2	Satellite/LC	ENSG00000196792.13	""	TE
chr14	30919968	30919988	chr14-449	13.4	-	2.1175	1.5104	3.6279	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30922980	30923000	chr14-1137	8.38	-	2.1175	1.6048	3.7223	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30924185	30924205	chr14-635	12.3	-	1.7646	1.416	3.1806	2	LINE	ENSG00000196792.13	""	TE
chr14	30925862	30925882	chr14-1596	10.1	-	1.2352	2.0768	3.3121	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30926008	30926028	chr14-636	14.5	-	1.4117	1.888	3.2997	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30927908	30927928	chr14-547	15.6	-	3.1762	1.0384	4.2147	2	Alu	ENSG00000196792.13	""	TE
chr14	30928169	30928189	chr14-1139	8.94	-	1.2352	1.7936	3.0288	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30929087	30929107	chr14-548	10.6	-	1.941	1.5104	3.4515	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30929926	30929946	chr14-637	14	-	1.4117	2.0768	3.4885	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30931067	30931087	chr14-1332	8.38	-	1.941	1.888	3.8291	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30931132	30931152	chr14-638	12.9	-	1.2352	2.5489	3.7841	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30931660	30931680	chr14-549	11.2	-	2.294	1.0384	3.3324	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30938668	30938688	chr14-1598	6.15	-	2.4704	1.0384	3.5088	2	LINE	ENSG00000196792.13	""	TE
chr14	30938757	30938777	chr14-825	8.38	-	2.294	0.7552	3.0492	2	LINE	ENSG00000196792.13	""	TE
chr14	30939313	30939333	chr14-295	17.3	-	4.7644	1.5104	6.2748	2	LTR/ERV	ENSG00000196792.13	""	TE
chr14	30943586	30943606	chr14-1333	10.1	-	3.1762	1.416	4.5923	2	Alu	ENSG00000196792.13	""	TE
chr14	30944380	30944400	chr14-1334	6.71	-	1.941	2.0768	4.0179	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30944692	30944712	chr14-1335	8.94	-	2.294	0.8496	3.1436	2	Alu	ENSG00000196792.13	""	TE
chr14	30945583	30945603	chr14-274	27.9	-	5.4702	3.2097	8.6799	2	Alu	ENSG00000196792.13	""	TE
chr14	30950084	30950104	chr14-1140	7.26	-	2.4704	0.6608	3.1312	2	Deep intronic	ENSG00000196792.13	""	Genic
chr14	30956555	30956575	chr14-109	31.3	-	6.3525	2.8321	9.1845	2	Alu	ENSG00000196792.13	""	TE
chr14	30958286	30958306	chr14-325	17.9	-	2.8233	1.6048	4.4282	2	Alu	ENSG00000196792.13	""	TE
chr14	30959307	30959327	chr14-110	34.6	-	9.3523	2.8321	12.1843	2	Alu	ENSG00000196792.13	""	TE
chr14	30963748	30963768	chr14-386	14	-	4.7644	2.6433	7.4076	2	LINE	ENSG00000196792.13	""	TE
chr14	30963861	30963881	chr14-85	26.8	-	8.6464	1.7936	10.4401	2	LINE	ENSG00000196792.13	""	TE
chr14	30964210	30964230	chr14-975	13.4	-	2.9998	0.8496	3.8494	2	LINE	ENSG00000196792.13	""	TE
chr14	30973238	30973258	chr14-493	11.7	-	3.8821	1.0384	4.9205	2	LINE	ENSG00000196792.13	""	TE
chr14	30973412	30973432	chr14-639	10.1	-	1.941	1.3216	3.2627	2	Satellite/LC	ENSG00000196792.13	""	TE
chr14	30974119	30974139	chr14-494	11.2	-	3.8821	0.8496	4.7317	2	LINE	ENSG00000196792.13	""	TE
chr14	30974392	30974412	chr14-275	17.9	-	3.7056	2.9265	6.6321	2	LINE	ENSG00000196792.13	""	TE
chr14	30974581	30974601	chr14-726	12.3	-	2.4704	1.3216	3.792	2	LINE	ENSG00000196792.13	""	TE
chr14	30974781	30974801	chr14-140	41.3	-	8.47	4.9089	13.3789	2	Alu	ENSG00000196792.13	""	TE
chr14	30975520	30975540	chr14-159	32.4	-	5.6467	3.6817	9.3283	2	LINE	ENSG00000196792.13	""	TE
chr14	30975809	30975829	chr14-495	20.1	-	3.3527	1.7936	5.1463	2	Alu	ENSG00000196792.13	""	TE
chr14	30976109	30976129	chr14-141	21.2	-	2.9998	4.2481	7.2479	2	LINE	ENSG00000196792.13	""	TE
chr14	30976175	30976195	chr14-357	17.3	-	2.6469	2.8321	5.4789	2	LINE	ENSG00000196792.13	""	TE
chr14	30977319	30977339	chr14-387	11.7	-	1.7646	2.6433	4.4078	2	LINE	ENSG00000196792.13	""	TE
chr14	30977765	30977785	chr14-1338	11.7	-	1.941	1.5104	3.4515	2	Alu	ENSG00000196792.13	""	TE
chr14	30978171	30978191	chr14-3014	6.15	-	1.941	1.2272	3.1683	2	LINE	ENSG00000196792.13	""	TE
chr14	30981479	30981499	chr14-828	9.5	-	2.1175	2.5489	4.6663	2	First intron	ENSG00000196792.13	""	Genic
chr14	30983536	30983556	chr14-640	10.6	-	1.5881	1.888	3.4762	2	Alu	ENSG00000196792.13	""	TE
chr14	30983866	30983886	chr14-829	11.7	-	1.7646	2.2656	4.0302	2	First intron	ENSG00000196792.13	""	Genic
chr14	30984236	30984256	chr14-641	10.1	-	2.6469	1.0384	3.6853	2	Satellite/LC	ENSG00000196792.13	""	TE
chr14	30986225	30986245	chr14-132	29.6	-	7.2348	2.9265	10.1612	2	First intron	ENSG00000196792.13	""	Genic
chr14	30987617	30987637	chr14-450	11.7	-	1.7646	1.5104	3.275	2	LINE	ENSG00000196792.13	""	TE
chr14	30991739	30991759	chr14-1142	7.26	-	2.4704	0.5664	3.0368	2	LINE	ENSG00000196792.13	""	TE
chr14	30991903	30991923	chr14-550	15.1	-	2.6469	1.5104	4.1573	2	Alu	ENSG00000196792.13	""	TE
chr14	30992543	30992563	chr14-210	59.8	-	10.0581	5.0033	15.0614	2	Alu	ENSG00000196792.13	""	TE
chr14	30992827	30992847	chr14-171	29.1	-	4.9408	2.7377	7.6785	2	Alu	ENSG00000196792.13	""	TE
chr14	30994507	30994527	chr14-388	17.9	-	5.6467	3.8705	9.5171	2	First intron	ENSG00000196792.13	""	Genic
chr14	30995302	30995322	chr14-72	31.3	-	5.6467	3.4929	9.1395	2	First intron	ENSG00000196792.13	""	Genic
chr14	30996984	30997004	chr14-296	14.5	-	3.3527	1.3216	4.6743	2	LTR/ERV	ENSG00000196792.13	""	TE
chr14	30998711	30998731	chr14-728	10.1	-	1.2352	2.0768	3.3121	2	LINE	ENSG00000196792.13	""	TE
chr14	30998929	30998949	chr14-297	16.8	-	4.4115	1.888	6.2995	2	Alu	ENSG00000196792.13	""	TE
chr14	30999101	30999121	chr14-830	9.5	-	3.1762	0.944	4.1203	2	Alu	ENSG00000196792.13	""	TE
chr14	30999506	30999526	chr14-451	12.9	-	2.294	1.5104	3.8044	2	LINE	ENSG00000196792.13	""	TE
chr14	30999620	30999640	chr14-251	18.4	-	5.4702	2.2656	7.7358	2	LINE	ENSG00000196792.13	""	TE
chr14	30999727	30999747	chr14-160	20.7	-	8.2935	3.2097	11.5032	2	LINE	ENSG00000196792.13	""	TE
chr14	30999849	30999869	chr14-103	29.6	-	10.411	4.9089	15.3199	2	LINE	ENSG00000196792.13	""	TE
chr14	31000029	31000049	chr14-211	16.8	-	6.176	3.3041	9.4801	2	LINE	ENSG00000196792.13	""	TE
chr14	31000495	31000515	chr14-551	11.2	-	2.4704	1.2272	3.6976	2	LINE	ENSG00000196792.13	""	TE
chr14	31000814	31000834	chr14-40	48.1	-	10.0581	3.6817	13.7398	2	LINE	ENSG00000196792.13	""	TE
chr14	31001523	31001543	chr14-235	21.2	-	3.8821	1.6992	5.5813	2	Alu	ENSG00000196792.13	""	TE
chr14	31003242	31003262	chr14-978	14	-	1.7646	1.6048	3.3694	2	Alu	ENSG00000196792.13	""	TE
chr14	31003766	31003786	chr14-832	11.7	-	2.4704	1.0384	3.5088	2	LTR/ERV	ENSG00000196792.13	""	TE
chr14	31006091	31006111	chr14-298	21.2	-	3.8821	2.1712	6.0533	2	Alu	ENSG00000196792.13	""	TE
chr14	31006908	31006928	chr14-142	24	-	8.1171	3.8705	11.9875	2	Alu	ENSG00000196792.13	""	TE
chr14	31006975	31006995	chr14-54	53.6	-	10.9404	4.7201	15.6605	2	Alu	ENSG00000196792.13	""	TE
chr14	31007435	31007455	chr14-64	41.9	-	10.7639	4.8145	15.5784	2	LINE	ENSG00000196792.13	""	TE
chr14	31009010	31009030	chr14-252	18.4	-	4.5879	1.888	6.4759	2	Alu	ENSG00000196792.13	""	TE
chr14	31009096	31009116	chr14-729	11.2	-	2.4704	0.8496	3.32	2	First intron	ENSG00000196792.13	""	Genic
chr14	31010095	31010115	chr14-68	38	-	7.9406	5.4753	13.4159	2	Alu	ENSG00000196792.13	""	TE
chr14	31011632	31011652	chr14-1144	13.4	-	2.4704	1.416	3.8864	2	Alu	ENSG00000196792.13	""	TE
chr14	31012082	31012102	chr14-186	18.4	-	5.4702	1.9824	7.4526	2	Alu	ENSG00000196792.13	""	TE
chr14	31012871	31012891	chr14-496	11.7	-	2.8233	0.6608	3.4841	2	Alu	ENSG00000196792.13	""	TE
chr14	31015849	31015869	chr14-980	7.82	-	1.941	1.416	3.3571	2	Alu	ENSG00000196792.13	""	TE
chr14	31016506	31016526	chr14-358	12.3	-	2.6469	1.5104	4.1573	2	First intron	ENSG00000196792.13	""	Genic
chr14	31019299	31019319	chr14-126	34.1	-	4.5879	3.7761	8.364	2	Alu	ENSG00000196792.13	""	TE
chr14	31020472	31020492	chr14-236	17.9	-	3.5292	1.6048	5.134	2	Alu	ENSG00000196792.13	""	TE
chr14	31021596	31021616	chr14-276	16.8	-	5.2937	2.2656	7.5594	2	First intron	ENSG00000196792.13	""	Genic
chr14	31021655	31021675	chr14-981	10.1	-	2.294	1.3216	3.6156	2	First intron	ENSG00000196792.13	""	Genic
chr14	31022364	31022384	chr14-326	20.1	-	5.1173	0.8496	5.9669	2	Alu	ENSG00000196792.13	""	TE
chr14	31023795	31023815	chr14-172	22.9	-	3.8821	4.9089	8.791	2	First intron	ENSG00000196792.13	""	Genic
chr14	31023912	31023932	chr14-45	41.3	-	10.9404	4.6257	15.5661	2	First intron	ENSG00000196792.13	""	Genic
chr14	31100201	31100221	chr14-1612	6.71	-	1.941	1.3216	3.2627	2	3'UTR	ENSG00000092148.15	""	Genic
chr14	31100437	31100457	chr14-359	14.5	-	2.1175	1.888	4.0055	2	3'UTR	ENSG00000092148.15	""	Genic
chr14	31118871	31118891	chr14-389	15.1	-	2.4704	1.416	3.8864	2	Alu	ENSG00000092148.15	""	TE
chr14	31183991	31184011	chr14-452	17.9	-	2.294	1.9824	4.2764	2	Alu	ENSG00000092148.15	""	TE
chr14	31186664	31186684	chr14-327	19.6	-	3.3527	1.6992	5.0519	2	Alu	ENSG00000092148.15	""	TE
chr14	31187335	31187355	chr14-1147	13.4	-	2.1175	1.2272	3.3447	2	Alu	ENSG00000092148.15	""	TE
chr14	31244825	31244845	chr14-299	149.8	+	35.821	6.1361	41.9571	2	Other exon	ENSG00000202402.1	Y_RNA	Genic
chr14	31258632	31258652	chr14-416	13.4	-	4.0585	0.6608	4.7193	2	Other exon	ENSG00000199291.1	Y_RNA	Genic
chr14	31447807	31447827	chr14-552	19	-	2.1175	3.0209	5.1384	2	3'UTR	ENSG00000129480.14	DTD2	Genic
chr14	31881216	31881236	chr14-300	142.5	+	25.2335	10.573	35.8065	2	Intergenic	""	""	Intergenic
chr14	31903838	31903858	chr14-1943	14	-	2.294	1.1328	3.4268	2	LINE	""	""	TE
chr14	32123568	32123588	chr14-839	9.5	+	2.6469	1.1328	3.7797	2	LINE	ENSG00000100852.15	""	TE
chr14	32126256	32126276	chr14-1344	7.26	+	1.7646	1.2272	2.9918	2	LTR/ERV	ENSG00000100852.15	""	TE
chr14	32130230	32130250	chr14-2425	16.8	+	3.7056	0.8496	4.5552	2	Alu	ENSG00000100852.15	""	TE
chr14	32157829	32157849	chr14-983	7.26	+	1.941	1.5104	3.4515	2	3'UTR	ENSG00000100852.15	""	Genic
chr14	32268598	32268618	chr14-840	11.2	-	2.6469	1.888	4.5349	2	Alu	""	""	TE
chr14	32685699	32685719	chr14-2429	12.3	-	2.294	0.8496	3.1436	2	Alu	""	""	TE
chr14	32989662	32989682	chr14-328	21.2	-	5.4702	0.6608	6.131	2	Satellite/LC	""	""	TE
chr14	33746778	33746798	chr14-984	22.4	+	2.6469	2.7377	5.3845	2	LINE	ENSG00000151322.20	NPAS3	TE
chr14	33924914	33924934	chr14-453	16.8	-	1.0587	2.3601	3.4188	2	3'UTR	ENSG00000129521.16	""	Genic
chr14	34191763	34191783	chr14-329	111.2	-	19.2339	8.4962	27.7301	2	Other SINE	""	""	TE
chr14	34433946	34433966	chr14-173	19.6	-	3.7056	1.888	5.5937	2	3'UTR	ENSG00000165389.7	SPTSSA	Genic
chr14	34434921	34434941	chr14-731	10.6	-	3.7056	1.888	5.5937	2	3'UTR	ENSG00000165389.7	SPTSSA	Genic
chr14	34434989	34435009	chr14-553	10.1	-	2.1175	1.416	3.5335	2	3'UTR	ENSG00000165389.7	SPTSSA	Genic
chr14	34437224	34437244	chr14-732	12.3	-	2.1175	1.3216	3.4391	2	Alu	ENSG00000165389.7	SPTSSA	TE
chr14	34455355	34455375	chr14-643	11.2	-	2.4704	0.944	3.4144	2	Alu	ENSG00000165389.7	SPTSSA	TE
chr14	34456312	34456332	chr14-133	23.5	-	3.7056	2.8321	6.5377	2	Alu	ENSG00000165389.7	SPTSSA	TE
chr14	34457945	34457965	chr14-554	14	-	1.5881	1.7936	3.3818	2	Alu	ENSG00000165389.7	SPTSSA	TE
chr14	34460800	34460820	chr14-454	14	-	2.8233	2.3601	5.1834	2	First intron	ENSG00000165389.7	SPTSSA	Genic
chr14	34460986	34461006	chr14-174	23.5	-	4.5879	2.8321	7.42	2	First intron	ENSG00000165389.7	SPTSSA	Genic
chr14	34516100	34516120	chr14-194	28.5	-	5.9996	3.4929	9.4924	2	3'UTR	ENSG00000129518.11	""	Genic
chr14	34546767	34546787	chr14-1151	24	+	6.176	3.5873	9.7633	2	First intron	ENSG00000206596.1	RNU1-27P	Genic
chr14	34556269	34556289	chr14-2433	5.03	-	1.7646	1.2272	2.9918	2	3'UTR-distal	ENSG00000206588.1	RNU1-28P	Genic
chr14	34556312	34556332	chr14-1618	7.82	-	2.294	1.0384	3.3324	2	3'UTR-distal	ENSG00000206588.1	RNU1-28P	Genic
chr14	34562678	34562698	chr14-733	21.2	-	3.7056	2.4545	6.1601	2	3'UTR	ENSG00000129515.21	""	Genic
chr14	34604312	34604332	chr14-1619	12.9	-	1.941	1.2272	3.1683	2	Deep intronic	ENSG00000129515.21	""	Genic
chr14	34620918	34620938	chr14-734	21.2	-	3.5292	1.6992	5.2284	2	Alu	ENSG00000129515.21	""	TE
chr14	34628611	34628631	chr14-330	14	-	3.7056	0.944	4.6496	2	Alu	ENSG00000129515.21	""	TE
chr14	34753161	34753181	chr14-331	34.6	-	6.3525	4.0593	10.4118	2	3'UTR	ENSG00000198604.12	""	Genic
chr14	34786064	34786084	chr14-985	8.94	-	1.5881	2.6433	4.2314	2	Satellite/LC	ENSG00000198604.12	""	TE
chr14	34869181	34869201	chr14-644	10.6	-	2.294	0.944	3.238	2	Alu	ENSG00000198604.12	""	TE
chr14	34931028	34931048	chr14-1950	13.4	+	3.3527	0.6608	4.0135	2	Alu	""	""	TE
chr14	34964417	34964437	chr14-3059	11.2	-	2.4704	0.7552	3.2256	2	Alu	ENSG00000258704.9	SRP54-AS1	TE
chr14	35003593	35003613	chr14-3060	11.7	+	2.6469	0.944	3.5909	2	Alu	ENSG00000100883.14	""	TE
chr14	35020602	35020622	chr14-360	13.4	+	3.1762	1.1328	4.3091	2	Deep intronic	ENSG00000100883.14	""	Genic
chr14	35020666	35020686	chr14-988	10.6	+	3.7056	1.6048	5.3105	2	Deep intronic	ENSG00000100883.14	""	Genic
chr14	35021002	35021022	chr14-1951	6.15	+	2.294	0.7552	3.0492	2	Deep intronic	ENSG00000100883.14	""	Genic
chr14	35024423	35024443	chr14-2438	6.15	+	2.6469	0.472	3.1189	2	Deep intronic	ENSG00000100883.14	""	Genic
chr14	35026227	35026247	chr14-65	48.6	+	16.2341	3.1153	19.3494	2	Alu	ENSG00000100883.14	""	TE
